menu_start_game_1|^^^^^^^^^^Za co bojuješ?
menu_center_besieged_event|Posel k tobě dorazil a řekl ti, že {s1} je obléhán {s2} z {s3}.
mno_center_besieged_event_close|Zavřít
menu_guardian_party_spawned|^^^^^Zvědové hlásí že {s6} shromáždil velkou armádu v blízkosti {s7},jako poslední naději jak zabránit postupu na hlavní město.
mno_intro_next|Pokračuj
mno_start_defend_caravan|braň karavanu
mno_start_raid_caravan|přepadni karavanu
mno_start_ambush_orcs|Přepadni skřety
mno_start_kill_scouts|Zastav průzkumníky před informováním o tvém příchodu.
mno_go_your_way|Nech je na pokoji.
mno_defend_villagers|braň vesničany !
mno_raid_villagers|přepadni vesnici
mno_go_away|Odejít a přeskupit se prozatím.
menu_scout_camp_quest|Nedaleko vidíš tábor průzkumníků. Velíš k útoku na ně
mno_attack_scout_camp|Zaútočit na tábořiště zvědů!
menu_sea_battle_quest|Potkáte nepřátelskou flotilu. Lodě se blíží a námořníci hodí prkna ...
mno_sb_defend_the_town|Naloďte se! Zničte jejich flotilu!
mno_sb_attack_the_town|Snaží se nás chytit! Ubraňte flotilu!
menu_camp_field_ai|^^^^^ Kliknutím na možnost přepnete. ^^^ Vypnutí jedné nebo více možností zlepší výkon (FPS)
mno_lord_field_ai|Lordi mají vylepšené AI na bojišti: {s7}
mno_horse_archer_field_ai|Jízdní lučištníci mají vylepšené AI na bojišti: {s7}
mno_vs_orcs_field_ai|Lučištníci mají lepší zaměřování proti skřetům (nestřílí jim nad hlavy): {s7}
mno_battlefield_animals|Nevrkové/Koňské doprovody se spawnují v boji: {s7}
mno_slow_when_wounded|Agenti jsou zpomaleni, když jsou zraněni: {s7}
mno_battle_encounter_effects|Speciální efekty frakcí na bojišti (bouře,mlhy...): {s7}
menu_hungry_orc|žádný
menu_leaving_elf|žádný
mno_defend_refugees|Dej si pozor na nájezdníky...
mno_attack_refugees|Zaútočit na družinu uprchlíků...
mno_leave_refugees|Nech je prozatím...
mno_evil_war_tut_continue|Pokračuj
menu_guardian_party_quest|{s8} posílá zprávu že Železný pas je na kolenou a připravil poslední obranu. Přeje si aby ses připoji do poslední bitvy proti armádě Železného pasu. Máš sebou vzít {reg13} jednotek. Jestli nemáš dostatek jednotek, máš je co nejdříve naverbovat
mno_guardian_party_reject|Poslat zprávu, že se nemůžeš připojit.
mno_guardian_party_send_word|Pošli zprávu, že se k němu brzy připojíš.
menu_alternate_training_fight|Budeš čelit {reg5}. Jsi připravený?
mno_training_continue|Začít s výcvikem...
menu_alternate_training_conclusion|{s5}
mno_alternate_training_retry|Zkusit znova...
mno_alternate_training_finish|Opustit arénu...
menu_custom_battle_choose_faction1|^^^^^^^^^^Vyber si svoji stranu a výhod:
mno_good_equal|Frakce dobra
mno_bad_equal|Frakce zla
mno_replay_prev|Přehrát předchozí nastavení
menu_custom_battle_choose_faction2|^^^^^^^^^^Vyber frakci dobra
mno_cb_gondor|Gondor
mno_cb_gondor1|Rohan
mno_cb_gondor2|Lothlorien
mno_cb_gondor3|Roklinka
mno_cb_gondor4|Temný hvozd
mno_cb_gondor5|Trpaslíci
mno_cb_gondor6|Dol
mno_cb_gondor7|Meddedovci
menu_custom_battle_choose_faction3|^^^^^^^^^^Vyber frakci zla
mno_cb_mordor|Mordor
mno_cb_mordor1|Zelezny Pas
mno_cb_mordor2|Vrchovina
mno_cb_mordor3|Harad
mno_cb_mordor4|Východňané
mno_cb_mordor5|Morie
mno_cb_mordor6|Gundabad
mno_cb_mordor7|Rhun
mno_cb_mordor8|Korzaři
mno_rescue_mission|Proplížit se do doupěte kouzelníků, pod úkrytem noci.
mno_next_rescue_scene_door|Pokračuj vpřed!
mno_pick_troops1|Vyber spolecniky pro tento ukol, {reg0} vybrano
menu_pick_troops|Koho by jste si sebou vzal na tajnou misi? Momentálně jsi vybral {reg0} společníků. Můžete si sebou vzít až 10 jednotek.
mno_go_forward|Ukoncit vyber spolecniku a pokracovat.
menu_burial_mound|Blížíš se k zakopané hromadě {s1} z {s2}, poražených v bitvě s jednotkami {s28}. Zbraně padlých jsou poházeny okolo.
mno_pay_respects|Poklekněte a projevte úctu.
mno_swear_oath|Slozit prisahu pomsty!
mno_despoil|Znesvetit toto misto
mno_leave_mound|Opustit mohylu.
menu_burial_mound_respects|Poklekl jsi a prokázal úctu jsi úctu {s1}, tiše pronášíš modlitbu za spočinutí duše v posmrtném životě.  Nezbývá nic jiného co by se dalo udělat.
menu_burial_mound_oath|Hlasite prisahas pomstu za smrt {s4}. Bez odpocinku budes patrat po muzich {s3}  a unicis je. Tva slova odnasi vitr a kdo vi, zda je nebylo slyset za morem?
menu_funeral_pyre_oath|Hlasite prisahas pomstu za smrt {s4}. Bez odpocinku budes patrat po muzich {s3}  a unicis je. Tva slova odnasi vitr a kdo vi, zda je nebylo slyset za morem?
mno_leave_pyre_oath|Odejít od vatry.
menu_burial_mound_despoil|Strhl jsi sochu {s1} vlastníma rukama a ničíš každý kámen kletbami, zlými zpěvy a nepopsatelnými akty. Tví následovníci ustupují ve strachu z mrtvých ale zdá se že jsi opět získal jejich respekt díky své krutosti.
menu_funeral_pyre|Přistupuješ k spáleným zbytkům pohřební hranice {s3} z {s2}. Poražených v bitvě silami {s28}. Tady tato mrtvola byla slavnostně spálena jeho osobními strážci. Nezůstalo nic cenného.
mno_leave_pyre|Odejít od vatry.
menu_town_ruins|Když se přiblížíš, vidíš že {s1} je {s2}
mno_ruin_menu_0|Prozkoumat to místo.
mno_ruin_leave|Opusť...
menu_premutiny|žádný
menu_death|Byl jsi zabit. Válka pokračuje, ale bez tebe.
menu_animal_ambush|ty a tví přátelé jste se ocitli mimo vaši skupinu, když najednou...
menu_animal_ambush_success|{s2} {reg0?fall:falls} se objevili před tebou jako blesk z čistého nebe! Zanedlouho všichni útočníci leží na zemi, zranění nebo mrtví. {s3}
menu_animal_ambush_fail|Zvířata vás koušou a trhají {reg0?,: a tvého společníka{reg2?s,:,}} ale naštěstí se ti podařilo je odrazit. Doufejme že na tebe znova nezaútočí .
menu_build_your_scene|Zde si můžeš vytvořit vlastní bitevní scénář, použitím jednoho ze slotů níže a Editačního módu (musíš nejdříve přepnout editační mód na ZAPNOUT v M&B spouštěcí obrazovce v Nastavení). Poté můžeš odeslat scénář, který jsi vytvořil (jmenovitě, sco soubory ze složky TLD/SceneObj)  developerskému týmu TLD, a pokud bude dobrý, může se objevit v pozdějším vydání jako jeden z náhodných bojovišť!^^ Zkus specifikovat ve kterém regionu na mapě chceš aby se scénář odehrával.^ Pár rad: vyhni se hluboké vodě, strmým horám  a dalším nedosažitelným místům pokud nejsi zkušený vývojář a nevíš jak zabránit AI jednotkám aby chodily tam kde nechceš, a vytvoř AI síť na jiném místě.^ (Vložení #0-1 je pro útočníky, #4 pro obránce, nedotýkej se #5-8
mno_scene1|Bojiště5 (file scn battlefield5.sco)
mno_scene2|Bojiště6 (file scn battlefield6.sco)
mno_scene3|Bojiště 7 (file scn battlefield7.sco)
mno_scene4|Bojiště8 (file scn battlefield8.sco)
mno_scene5|Bojiště9 (file scn battlefield9.sco)
mno_back_3dot|Zpět...
mno_back|Jdi zpět.
mno_next|další...
