trp_unarmed_troop|Neozbrojený voják
trp_i5_harad_tiger_guard|Tygří strážce
trp_i5_harad_tiger_guard_pl|Tygří garda
trp_i4_harad_swordsman|Haradský šermíř
trp_i4_harad_swordsman_pl|Haradští šermíři
trp_i5_harad_lion_guard|Lví strážce
trp_i5_harad_lion_guard_pl|Lví garda
trp_a3_harad_hunter|Haradský lovec
trp_a3_harad_hunter_pl|Haradští lovci
trp_a4_harad_archer|Haradský lukostřelec
trp_a4_harad_archer_pl|Haradští lukostřelci
trp_a5_harad_eagle_guard|Orlí strážce
trp_a5_harad_eagle_guard_pl|Orlí garda
trp_c2_harondor_scout|Harondorský průzkumník
trp_c2_harondor_scout_pl|Harondorští průzkumníci
trp_c3_harondor_rider|Harondorský jezdec
trp_c3_harondor_rider_pl|Harondorští jezdci
trp_c4_harondor_light_cavalry|Harondorský lehký jezdec
trp_c4_harondor_light_cavalry_pl|Harondorští lehcí jezdci
trp_c5_harondor_serpent_knight|Rytíř zlatého hada
trp_c5_harondor_serpent_knight_pl|Rytíři zlatého hada
trp_ac3_harondor_skirmisher|Harondorský záškodník
trp_ac3_harondor_skirmisher_pl|Harondorští záškodníci
trp_ac4_harondor_horse_archer|Harondorský jízdní lukostřelec
trp_ac4_harondor_horse_archer_pl|Harondorská lukostřelecká jízda
trp_ac5_harondor_black_snake|Jízdní lukostřelec Černého hada
trp_ac5_harondor_black_snake_pl|Lukostřelecká jízda Černého hada
trp_i2_far_harad_tribesman|Divoch z pralesu Dálného Haradu
trp_i2_far_harad_tribesman_pl|Domorodec z dálného Haradu
trp_i4_far_harad_champion|Šampion dálného Haradu
trp_i4_far_harad_champion_pl|Šampioni dálného Haradu
trp_i5_far_harad_panther_guard|Panteří stráž
trp_i5_far_harad_panther_guard_pl|Panteří garda
trp_i1_dun_wildman|Dunlandský divoch 
trp_i1_dun_wildman_pl|Dunlandští divoši
trp_i2_dun_warrior|Dunlandský válečník
trp_i2_dun_warrior_pl|Dunlandští válečníci
trp_i3_dun_pikeman|Dunlandský kopiník
trp_i3_dun_pikeman_pl|Dunlandští kopiníci
trp_i4_dun_vet_pikeman|Dunlandský zkušený kopiník
trp_i4_dun_vet_pikeman_pl|Dunlandští zkušení kopiníci
trp_ac4_dun_crebain_rider|Dunlandský krebainský jezdec
trp_ac4_dun_crebain_rider_pl|Dunlandští krebainští jezdci
trp_i3_dun_vet_warrior|Dunlandský zkušený válečník
trp_i3_dun_vet_warrior_pl|Dunlandští zkušení válečníci
trp_i4_dun_wolf_warrior|Dunlandský Vlčí válečník
trp_i4_dun_wolf_warrior_pl|Dunlandští Vlčí válečníci
trp_i5_dun_wolf_guard|Dunlandský Vlčí střážce
trp_i5_dun_wolf_guard_pl|Dunlandštá Vlčí strážci
trp_ac5_dun_raven_rider|Dunlandský noční havran
trp_ac5_dun_raven_rider_pl|Dunlandští noční havrani
trp_i1_khand_bondsman|Khanský nevolník
trp_i1_khand_bondsman_pl|Khandští nevolníci
trp_i2_khand_pit_dog|Khandský arénový pes
trp_i2_khand_pit_dog_pl|Khandští arénoví psi
trp_i3_khand_warrior|Khandský válečník
trp_i3_khand_warrior_pl|Khandští válečníci
trp_i4_khand_vet_warrior|Khandský válečný veterán
trp_i4_khand_vet_warrior_pl|Khandští váleční veteráni
trp_i5_khand_war_master|Variagský mistr války
trp_i5_khand_war_master_pl|Variagští mistři války
trp_c2_khand_pony_rider|Khandský jezdec na poníkovi
trp_c2_khand_pony_rider_pl|Khandští jezdci na poníkovi
trp_c3_khand_horseman|Khandský jezdec
trp_c3_khand_horseman_pl|Khandští jezdci
trp_c4_khand_heavy_horseman|Khandský těžký jezdec
trp_c4_khand_heavy_horseman_pl|Khandští těžcí jezdci
trp_c5_khand_kataphrakt|Variagský obrněnec
trp_c5_khand_kataphrakt_pl|Variagští obrněnci
trp_c5_khand_lance_kataphrakt|Variagský kataphrakt s kopím
trp_c5_khand_lance_kataphrakt_pl|Variagští kataphrakti s kopím
trp_i4_khand_halberdier|Khandský kůsijník
trp_i4_khand_halberdier_pl|Khandští kůsijníci
trp_i5_khand_halberd_master|Khandský mistr halapartník
trp_i5_khand_halberd_master_pl|Khandský mistr halapartník
trp_i3_khand_pitfighter|Khandský bojovník v aréně
trp_i3_khand_pitfighter_pl|Khandští bojovníci v aréně
trp_i4_khand_pit_champion|Variagský šampion arény
trp_i4_khand_pit_champion_pl|Variagští šampioni arény
trp_i5_khand_pit_master|Variagský mistr arény
trp_i5_khand_pit_master_pl|Variagští mistři arény
trp_ac3_khand_skirmisher|Khandský záškodník
trp_ac3_khand_skirmisher_pl|Khandští záškodníci
trp_ac4_khand_vet_skirmisher|Khandský záškodník veterán
trp_ac4_khand_vet_skirmisher_pl|Khandští záškodníci veteráni
trp_ac5_khand_heavy_skirmisher|Variagský  těžký záškodník
trp_ac5_khand_heavy_skirmisher_pl|Variagští těžcí záškodníci
trp_i1_corsair_youth|Umbarský námořník
trp_i1_corsair_youth_pl|Umbarští námořníci
trp_i2_corsair_warrior|Umbarský válečník
trp_i2_corsair_warrior_pl|Umbarští válečníci
trp_i3_corsair_spearman|Umbarský kopiník 
trp_i3_corsair_spearman_pl|Umbarští kopiníci 
trp_i4_corsair_raider|Privatýr
trp_i4_corsair_raider_pl|Privatýři
trp_i5_corsair_night_raider|Korzárský noční nájezdník
trp_i5_corsair_night_raider_pl|Korzárští noční nájezdníci
trp_a2_corsair_marine|Umbarský námořník
trp_a2_corsair_marine_pl|Umbarští námořníci
trp_a3_corsair_marksman|Umbarský ostrostřelec
trp_a3_corsair_marksman_pl|Umbarští ostrostřelci
trp_a4_corsair_veteran_marksman|Umbarský zkušený ostrostřelec
trp_a4_corsair_veteran_marksman_pl|Umbarští zkušení ostrostřelci
trp_a5_corsair_master_marksman|Umbarský mistr ostrostřelec
trp_a5_corsair_master_marksman_pl|Umbarští mistři ostrostřelci
trp_i3_corsair_swordsman|Umbarský šermíř
trp_i3_corsair_swordsman_pl|Umbarští šermíři
trp_i4_corsair_veteran_swordsman|Umbarský zkušený šermíř
trp_i4_corsair_veteran_swordsman_pl|Umbarští  zkušení šermíři
trp_i5_corsair_master_swordsman|Korzárský šermíř
trp_i5_corsair_master_swordsman_pl|Korzárští šermíři
trp_a4_corsair_assassin|Korzárský vrah
trp_a4_corsair_assassin_pl|Korzárští vrazi
trp_a5_corsair_master_assassin|Korzárský vrah
trp_a5_corsair_master_assassin_pl|Korzárští vrazi
trp_i4_corsair_veteran_spearman|Umbarský zkušený kopiník
trp_i4_corsair_veteran_spearman_pl|Umbarští zkušení kopiníci
trp_i5_corsair_master_spearman|Umbarský kopiník
trp_i5_corsair_master_spearman_pl|Umbarští kopiníci
trp_i5_corsair_master_pikeman|Umbarský mistr s kopím
trp_i5_corsair_master_pikeman_pl|Umbarští mistři s kopím
trp_i1_isen_orc_snaga|Skřet snaga ze Železného pasu
trp_i1_isen_orc_snaga_pl|Skřeti snaga ze Železného pasu
trp_i2_isen_orc|Skřet z Isengardu
trp_i2_isen_orc_pl|Skřeti ze Železného pasu
trp_i3_isen_large_orc|Velký skřet ze Železného pasu
trp_i3_isen_large_orc_pl|Velcí skřeti ze Železného pasu
trp_i4_isen_fell_orc|Obrovský skřet ze Železného pasu
trp_i4_isen_fell_orc_pl|Obrovští skřeti ze Železného pasu
trp_i3_isen_large_orc_despoiler|Velký skřet plenitel
trp_i3_isen_large_orc_despoiler_pl|Velcí skřeti plenitelé
trp_i4_isen_fell_orc_despoiler|Obrovský skřet plenitel
trp_i4_isen_fell_orc_despoiler_pl|Obrovští skřeti plenitelé
trp_ac2_isen_wolf_rider|Vlčí jezdec ze Železného pasu
trp_ac2_isen_wolf_rider_pl|Vlčí jezdci ze Železného pasu
trp_ac3_isen_warg_rider|Jezdec na Vrku Železného pasu
trp_ac3_isen_warg_rider_pl|Jezdci na Vrcích Železného pasu
trp_ac4_isen_white_hand_rider|Jezdec Bílé Ruky
trp_ac4_isen_white_hand_rider_pl|Jezdci Bílé Ruky
trp_warg_ghost_1b|Vrk
trp_warg_ghost_1b_pl|Vrkové
trp_warg_ghost_1c|Vrk
trp_warg_ghost_1c_pl|Vrkové
trp_warg_ghost_1d|Vrk
trp_warg_ghost_1d_pl|Vrkové
trp_warg_ghost_a1b|Vrk
trp_warg_ghost_a1b_pl|Vrkové
trp_warg_ghost_a1c|Obrněný vrk
trp_warg_ghost_a1c_pl|Obrnění Vrci
trp_warg_ghost_a2b|Obrněný vrk
trp_warg_ghost_a2b_pl|Obrnění Vrci
trp_warg_ghost_a2c|Obrněný vrk
trp_warg_ghost_a2c_pl|Obrnění Vrci
trp_warg_ghost_a3a|Obrněný vrk
trp_warg_ghost_a3a_pl|Obrnění Vrci
trp_warg_ghost_h|Obrovský vrk
trp_warg_ghost_h_pl|Obrovští vrci
trp_a2_isen_uruk_tracker|Skurut-hai stopař
trp_a2_isen_uruk_tracker_pl|Skurut-hai stopaři
trp_a3_isen_large_uruk_tracker|Velký Skurut-hai stopař
trp_a3_isen_large_uruk_tracker_pl|Velcí Skurut-hai stopaři
trp_a4_isen_fighting_uruk_tracker|Bojový stopař Skurut-hai
trp_a4_isen_fighting_uruk_tracker_pl|Bojoví stopaři Skurut-hai
trp_i6_isen_uruk_berserker|Bojový bersekr Skurut-hai
trp_i6_isen_uruk_berserker_pl|Bojoví bersekři Skurut-hai
trp_i1_isen_uruk_snaga|Novorozený Skurut-hai
trp_i1_isen_uruk_snaga_pl|Novorození Skurut-hai
trp_i2_isen_uruk|Skurut-hai ze Železného pasu
trp_i2_isen_uruk_pl|Skurut-hai ze Železného pasu
trp_i3_isen_large_uruk|Velký Skurut-hai ze Železného pasu
trp_i3_isen_large_uruk_pl|Velcí Skurut-hai ze Železného pasu
trp_i4_isen_fighting_uruk_warrior|Bojový válečník Skurut-hai
trp_i4_isen_fighting_uruk_warrior_pl| Bojoví válečníci Skurut-hai
trp_i5_isen_fighting_uruk_champion|Bojovík šampion Skurut-hai
trp_i5_isen_fighting_uruk_champion_pl|Bojovníci šampioni Skurut-hai
trp_i3_isen_uruk_pikeman|Kopiník Skurut-hai
trp_i3_isen_uruk_pikeman_pl|Kopiníci Skurut-hai
trp_i4_isen_fighting_uruk_pikeman|Bojový kopiník Skurut-hai
trp_i4_isen_fighting_uruk_pikeman_pl|Bojoví kopiníci Skurut-hai
trp_i5_isen_uruk_standard_bearer|Kourouhevník Skurut-hai
trp_i5_isen_uruk_standard_bearer_pl|Kourouhevníci Skurut-hai
trp_i1_mordor_uruk_snaga|Skurut snaga z Mordoru
trp_i1_mordor_uruk_snaga_pl|Skurutové Snagové z Mordoru
trp_i2_mordor_uruk|Skurut z Mordoru
trp_i2_mordor_uruk_pl|Skurutové z Mordoru
trp_i3_mordor_large_uruk|Velký Skurut z Mordoru
trp_i3_mordor_large_uruk_pl|Velcí Skurutové z Morodoru
trp_i4_mordor_fell_uruk|Obrovský Skurut z Morodoru
trp_i4_mordor_fell_uruk_pl|Obrovští Skurutové z Mordoru
trp_i3_mordor_uruk_slayer|Skurut zabiják z Mordoru
trp_i3_mordor_uruk_slayer_pl|Skurutové zabijáci z Mordoru
trp_i4_mordor_fell_uruk_slayer|Obří Skurut zabiják z Mordoru
trp_i4_mordor_fell_uruk_slayer_pl|Obří Skurutové zabijáci z Mordoru
trp_i5_mordor_black_uruk|Černý Skurut z Barad Dur
trp_i5_mordor_black_uruk_pl|Černí Skurutové z Barad Dur
trp_i5_mordor_uruk_standard_bearer|Korouhevník Mordoru
trp_i5_mordor_uruk_standard_bearer_pl|Korouhevníci Mordoru
trp_troll_of_moria|Jeskynní Trol
trp_troll_of_moria_pl|Jeskynní Trolové
trp_armoured_troll|Obrněný Trol
trp_armoured_troll_pl|Obrnění Trolové
trp_olog_hai|Mordorský Olog Hai 
trp_olog_hai_pl|Mordorští Olog Hai 
trp_ent_old|Ent
trp_ent_old_pl|Enti
trp_i1_guldur_orc_snaga|Skřet snaga z Dol Guldur
trp_i1_guldur_orc_snaga_pl|Skřeti snaga z Dol Guldur
trp_a2_guldur_orc_tracker|Skřet stopař z Dol Guldur
trp_a2_guldur_orc_tracker_pl|Skřeti stopaři z Dol Guldur
trp_i1_mordor_orc_snaga|Skřet snaga z Mordoru
trp_i1_mordor_orc_snaga_pl|Skřeti snaga z Mordoru
trp_i2_mordor_orc|Skřet z Mordoru
trp_i2_mordor_orc_pl|Skřeti z Mordoru
trp_i3_mordor_large_orc|Velký skřet z Mordoru
trp_i3_mordor_large_orc_pl|Velcí skřeti z Mordoru
trp_i4_mordor_fell_orc|Obrovský skřet z Mordoru
trp_i4_mordor_fell_orc_pl|Obrovští skřeti z Mordoru
trp_c3_mordor_warg_rider|Jezdec na Vrku z Gorgorothu
trp_c3_mordor_warg_rider_pl|Jezdci na Vrcích z Gorgorothu
trp_c4_mordor_great_warg_rider|Skvělý jezdec na Vrku z Udunu
trp_c4_mordor_great_warg_rider_pl|Skvělí jezdci na Vrcích z Udunu
trp_i2_mordor_morgul_orc|Skřet z Minas Morgul
trp_i2_mordor_morgul_orc_pl|Skřeti z Minas Morgul
trp_i4_mordor_fell_morgul_orc|Obrovský skřet z Minas Morgul
trp_i4_mordor_fell_morgul_orc_pl|Obrovští skřeti z Minas Morgul
trp_a3_guldur_large_orc_tracker|Velký skřetí stopař z Dol Guldur
trp_a3_guldur_large_orc_tracker_pl|Velcí skřetí stopaři z Dol Guldur
trp_a4_guldur_fell_orc_tracker|Obrovský skřetí stopař z Dol Guldur
trp_a4_guldur_fell_orc_tracker_pl|Obrovští skřetí stopaři z Dol Guldur
trp_a2_mordor_orc_archer|Skřet lukostřelec z Mordoru
trp_a2_mordor_orc_archer_pl|Skřeti lukostřelci z Mordoru
trp_a3_mordor_large_orc_archer|Velký skřet lukostřelec z Mordoru
trp_a3_mordor_large_orc_archer_pl|Velcí skřeti lukostřelci z Mordoru
trp_a4_mordor_fell_orc_archer|Obrovský skřet lukostřelec z Mordoru
trp_a4_mordor_fell_orc_archer_pl|Obrovští skřeti lukostřelci z Mordoru
trp_c3_moria_wolf_rider|Jezdec na vlku z Morie
trp_c3_moria_wolf_rider_pl|Jezdci na vlku z Morie
trp_c4_moria_warg_rider|Jezdec na Vrku z Morie
trp_c4_moria_warg_rider_pl|Jezdci na Vrcích z Morie
trp_c5_moria_clan_rider|Jezdec z Bolgova kmene
trp_c5_moria_clan_rider_pl|Jezci z Bolgova kmene
trp_i1_moria_snaga|Snaga z Morie
trp_i1_moria_snaga_pl|Snagové z Morie
trp_i2_moria_goblin|Goblin z Morie
trp_i2_moria_goblin_pl|Goblinové z Morie
trp_i3_moria_large_goblin|Velký goblin z Morie
trp_i3_moria_large_goblin_pl|Velcí goblinové z Morie
trp_i4_moria_fell_goblin|Obrovský goblin z Morie
trp_i4_moria_fell_goblin_pl|Obrovští goblinové z Morie
trp_a2_moria_goblin_archer|Goblin lukostřelec z Morie
trp_a2_moria_goblin_archer_pl|Goblinové lukostřelci z Morie
trp_a3_moria_large_goblin_archer|Velký goblin lukostřelec z Morie
trp_a3_moria_large_goblin_archer_pl|Velcí goblinové lukostřelci z Morie
trp_a4_moria_fell_goblin_archer|Obrovský goblin lukostřelec z Morie
trp_a4_moria_fell_goblin_archer_pl|Obrovští goblinové lukostřelci z Morie
trp_i1_gunda_goblin|Goblin z Gundabadu
trp_i1_gunda_goblin_pl|Goblinové z Gundabadu
trp_i2_gunda_orc|Skřet z Gundabadu
trp_i2_gunda_orc_pl|Skřeti z Gundabadu
trp_i3_gunda_orc_fighter|Skřet bojovník z Gundabadu
trp_i3_gunda_orc_fighter_pl|Skřeti bojovníci z Gundabadu
trp_i4_gunda_orc_warrior|Skřet válečník z Gundabadu
trp_i4_gunda_orc_warrior_pl|Skřeti válečníci z Gundabadu
trp_i4_gunda_orc_berserker|Skřet bersekr z Gundabadu
trp_i4_gunda_orc_berserker_pl|Skřeti bersekři z Gundabadu
trp_ca4_gunda_skirmisher|Harcovník z Gundabadu
trp_ca4_gunda_skirmisher_pl|Harcovníci z Gundabadu
trp_ca5_gunda_clan_skirmisher|Goblin záškodník ze Severního klanu
trp_ca5_gunda_clan_skirmisher_pl|Goblinové záškodníci ze Severního klanu
trp_c3_gunda_goblin_rider|Goblin jezdec z Gundabadu
trp_c3_gunda_goblin_rider_pl|Goblinové jezdci z Gundabadu
trp_c4_gunda_warg_rider|Jezdec na Vrku z Gundabadu
trp_c4_gunda_warg_rider_pl|Jezdci na Vrcích z Gundabadu
trp_c5_gunda_clan_rider|Goblin jezdec ze Severního klanu
trp_c5_gunda_clan_rider_pl|Goblinové jezdci ze Severního klanu
trp_i5_gunda_orc_champion|Skřet šampion z Gundabadu
trp_i5_gunda_orc_champion_pl|Skřeti šampioni z Gundabadu
trp_mountain_goblin2|Horský goblin
trp_mountain_goblin2_pl|Horští goblini
trp_tribal_orc2|Kmenový skřet
trp_tribal_orc2_pl|Kmenoví skřeti
trp_i5_gunda_orc_champion2|Skřet šampion z Gundabadu
trp_i5_gunda_orc_champion2_pl|Skřeti šampioni z Gundabadu
trp_i2_mordor_num_renegade|Černý Numenorejec odpadlík
trp_i2_mordor_num_renegade_pl|Černí Numenorejci odpadlíci
trp_i3_mordor_num_warrior|Černý Numenorejec válečník
trp_i3_mordor_num_warrior_pl|Černí Numenorejci válečníci
trp_i4_mordor_num_vet_warrior|Černý Numenorejec zkušený válečník
trp_i4_mordor_num_vet_warrior_pl|Černí Numenorejci zkušení válečníci
trp_i5_mordor_num_champion|Černý Numenorejec šampion
trp_i5_mordor_num_champion_pl|Černí Numenorejci šampioni
trp_i5_mordor_num_assassin|Černý Numenorejec zabiják
trp_i5_mordor_num_assassin_pl|Černí Numenorejci zabijáci
trp_c4_mordor_num_horseman|Černý Numenorejec jezdec
trp_c4_mordor_num_horseman_pl|Černí Numenorejci jezdci
trp_c5_mordor_num_knight|Černý Numenorejec mistr jezdec
trp_c5_mordor_num_knight_pl|Černí Numenorejci mistři jezdci
trp_noldorin_commander|Noldorský velitel
trp_noldorin_commander_pl|Noldorští velitelé
trp_elf_captain_of_lothlorien|Lothlorienský elfí kapitán
trp_elf_captain_of_lothlorien_pl|Lothlorienští elfí kapitáni
trp_lothlorien_lieutenant|Lothlorienský poručík
trp_lothlorien_lieutenant_pl|Lothlorienští poručíci
trp_elf_captain_of_mirkwood|Elfí kapitán ze Zeleného hvozdu
trp_elf_captain_of_mirkwood_pl|Elfí kapitáni ze Zeleného hvozdu
trp_mirkwood_lieutenant|Poručík ze Zeleného hvozdu
trp_mirkwood_lieutenant_pl|Poručíci ze Zeleného hvozdu
trp_elf_captain_of_rivendell|Kapitán elfů z Roklinky
trp_elf_captain_of_rivendell_pl|Kapitáni elfů z Roklinky
trp_rivendell_lieutenant|Poručík z Roklinky
trp_rivendell_lieutenant_pl|Poručíci z Roklinky
trp_lieutenant_of_rohan|Rohanský poručík
trp_lieutenant_of_rohan_pl|Rohanští poručíci
trp_captain_of_rohan|Rohanský kapitán
trp_captain_of_rohan_pl|Rohanští kapitáni
trp_high_captain_of_rohan|Rohanský vrchní kapitán
trp_high_captain_of_rohan_pl|Rohanští vrchní kapitáni
trp_lieutenant_of_isengard|Poručík ze Železného pasu
trp_lieutenant_of_isengard_pl|Poručíci ze Železného pasu
trp_captain_of_isengard|Kapitán ze Železného pasu
trp_captain_of_isengard_pl|Kapitáni ze Železného pasu
trp_high_captain_of_isengard|Vrchní kapitán ze Železného pasu
trp_high_captain_of_isengard_pl|Vrchní kapitáni ze Železného pasu
trp_lieutenant_of_mordor|Mordorský poručík
trp_lieutenant_of_mordor_pl|Mordorští poručíci
trp_captain_of_mordor|Mordorský kapitán
trp_captain_of_mordor_pl|Mordorští kapitáni
trp_high_captain_of_mordor|Mordorský vrchní kapitán
trp_high_captain_of_mordor_pl|Mordorští vrchní kapitáni
trp_easterling_chieftain|Variagský náčelník
trp_easterling_chieftain_pl|Variagští náčelníci
trp_easterling_lieutenant|Variagský válečný kněz
trp_easterling_lieutenant_pl|Variagští váleční kněží
trp_harad_chieftain|Haradský náčelník
trp_harad_chieftain_pl|Haradští náčelníci
trp_harad_lieutenant|Haradský poručík
trp_harad_lieutenant_pl|Haradští poručíci
trp_black_numenorean_captain|Kapitán Černých Numenorejců
trp_black_numenorean_captain_pl|Kapitáni Černých Numenorejců
trp_black_numenorean_lieutenant|Poručík Černých Numenorejců
trp_black_numenorean_lieutenant_pl|Poručíci Černých Numenorejců
trp_a5_dun_night_wolf|Dunlandský noční vlk
trp_a5_dun_night_wolf_pl|Dunlandští noční vlci
trp_dunnish_lieutenant|Dunlandský hejtman
trp_dunnish_lieutenant_pl|Dunlandští hejtmani
trp_goblin_chieftain|Gobliní náčelník
trp_goblin_chieftain_pl|Gobliní náčelníci
trp_captain_of_gondor|Gondorský kapitán
trp_captain_of_gondor_pl|Gondorští kapitáni
trp_nobleman|Šlechtic
trp_nobleman_pl|Šlechtici
trp_gondor_agent|Gondorský agent
trp_gondor_agent_pl|Gondorští agenti
trp_rohan_agent|Rohanský agent
trp_rohan_agent_pl|Rohanští agenti
trp_mordor_agent|Mordorský agent
trp_mordor_agent_pl|Mordorští agenti
trp_isengard_agent|Agent Železného pasu
trp_isengard_agent_pl|Agenti Železného pasu
trp_looter|Kořistník
trp_looter_pl|Kořistníci
trp_bandit|Bandita
trp_bandit_pl|Bandité
trp_brigand|Zbojník
trp_brigand_pl|Zbojníci
trp_mountain_bandit|Horský bandita
trp_mountain_bandit_pl|Horští bandité
trp_forest_bandit|Lesní bandita
trp_forest_bandit_pl|Lesní bandité
trp_sea_raider|Mořský nájezdník
trp_sea_raider_pl|Mořští nájezdníci
trp_steppe_bandit|Stepní bandita
trp_steppe_bandit_pl|Stepní bandité
trp_manhunter|Lovec lidí
trp_manhunter_pl|Lovci lidí
trp_kidnapped_girl|Unesená dívka
trp_kidnapped_girl_pl|Unesené dívky
trp_refugee|Uprchlík
trp_refugee_pl|Uprchlíci
trp_peasant_woman|Selka
trp_peasant_woman_pl|Selky
trp_caravan_master|Mistr Karavany
trp_caravan_master_pl|Mistři Karavany
trp_caravan_guard|Strážce Karavany
trp_caravan_guard_pl|Strážci Karavany
trp_messenger_man|Kurýr
trp_messenger_man_pl|Kurýři
trp_messenger_elf|Kurýr
trp_messenger_elf_pl|Kurýři
trp_messenger_dwarf|Kurýr
trp_messenger_dwarf_pl|Kurýři
trp_messenger_orc|Kurýr
trp_messenger_orc_pl|Kurýři
trp_messenger_evil_man|Kurýr
trp_messenger_evil_man_pl|Kurýři
trp_town_walker_1|Měšťan
trp_town_walker_1_pl|Měšťané
trp_town_walker_2|Měšťanka
trp_town_walker_2_pl|Měšťanky
trp_village_walker_1|Vesničan
trp_village_walker_1_pl|Vesničané
trp_village_walker_2|Vesničan
trp_village_walker_2_pl|Vesničané
trp_spy_walker_1|Měšťan
trp_spy_walker_1_pl|Měšťané
trp_spy_walker_2|Měšťanka
trp_spy_walker_2_pl|Měšťanky
trp_walker_man_gondor_black|Měšťan
trp_walker_man_gondor_white|Měšťan
trp_walker_man_gondor_blue|Měšťan
trp_walker_man_gondor_green|Měšťan
trp_walker_man_rohan_t|Rohanský měšťan
trp_walker_man_rohan_d|Rohanský měšťan
trp_walker_woman_rohan_t|Rohanské děvče
trp_walker_woman_rohan_d|Rohanské děvče
trp_walker_woman_gondor_b|Gondorská žena
trp_walker_woman_gondor_bw|Gondorská žena
trp_walker_woman_gondor_w|Gondorský šlechtic
; trp_mirkwood_walker_1|Greenwood Elf
; trp_mirkwood_walker_2|Greenwood Elf
; trp_lorien_walker_1|Lothlorien Elf
; trp_lorien_walker_2|Lothlorien Elf
trp_dwarf_walker|Trpaslík
; trp_beorn_walker|Peasant Man
trp_beorn_walker_fem|Selka
trp_trainer_4|Trenér
trp_trainer_gondor|Trenér
trp_trainer_rohan|Trenér
trp_trainer_dale|Trenér
trp_trainer_elf|Trenér
trp_trainer_beorn|Trenér
trp_trainer_dwarf|Trenér
trp_trainer_mordor|Trenér
trp_trainer_isengard|Trenér
trp_trainer_khand|Trenér
trp_trainer_rhun|Trenér
trp_trainer_harad|Trenér
trp_trainer_umbar|Trenér
trp_ransom_broker_1|Zprostředkovatel Výkupného
trp_ransom_broker_2|Zprostředkovatel Výkupného
trp_ransom_broker_3|Zprostředkovatel Výkupného
trp_ransom_broker_4|Zprostředkovatel Výkupného
trp_ransom_broker_5|Zprostředkovatel Výkupného
trp_ransom_broker_6|Zprostředkovatel Výkupného
trp_ransom_broker_7|Zprostředkovatel Výkupného
trp_ransom_broker_8|Zprostředkovatel Výkupného
trp_ransom_broker_9|Zprostředkovatel Výkupného
trp_ransom_broker_10|Zprostredkovatel Vykupneho
trp_tavern_traveler_1|Cestovatel
trp_tavern_traveler_2|Cestovatel
trp_tavern_traveler_3|Cestovatel
trp_tavern_traveler_4|Cestovatel
trp_tavern_traveler_5|Cestovatel
trp_tavern_traveler_6|Cestovatel
trp_tavern_traveler_7|Cestovatel
trp_tavern_traveler_8|Cestovatel
trp_tavern_traveler_9|Cestovatel
trp_tavern_traveler_10|Cestovatel
trp_tavern_minstrel_1|Basnik
trp_npc1|Mablung
trp_npc2|Cirdil
trp_npc3|Ulfas
trp_npc4|Galmyne
trp_npc5|Glorfindel
trp_npc6|Luevanna
trp_npc7|Kili Zlatoprstý
trp_npc8|Faniul
trp_npc9|Gulm
trp_npc10|Durgas
trp_npc11|Ufthak
trp_npc12|Gorbag
trp_npc13|Lykjada
trp_npc14|Fuldimir
trp_npc15|Bolzog
trp_npc16|Varfang
trp_npc17|Dimborn
trp_knight_6_2|Golasgil
trp_gondor_lord|Správce Denethor
trp_gondor_lord_pl|Správce
trp_rohan_lord|Král Theoden
trp_rohan_lord_pl|Král
trp_isengard_lord|Saruman
trp_isengard_lord_pl|Pán
trp_mordor_lord|Ústa Sauronova
trp_mordor_lord_pl|Satrapa
trp_harad_lord|Náčelník Ul-Ulcari
trp_harad_lord_pl|Náčelník
trp_rhun_lord|Jarl Helcaroth
trp_rhun_lord_pl|Jarl
trp_khand_lord|Sibh Krukmahur
trp_khand_lord_pl|Sib
trp_umbar_lord|Admirál Tulmir
trp_umbar_lord_pl|Admirál
trp_lorien_lord|Paní Galadriel
trp_lorien_lord_pl|Paní
trp_imladris_lord|Pán Elrond
trp_imladris_lord_pl|Pán
trp_woodelf_lord|Král Thranduil
trp_woodelf_lord_pl|Král
trp_moria_lord|Pán Bolg 
trp_moria_lord_pl|Pán
trp_guldur_lord|Pán Fuinur
trp_guldur_lord_pl|Pán
trp_gundabad_lord|Pán Burza Krual
trp_gundabad_lord_pl|Pán
trp_dale_lord|Král Brand
trp_dale_lord_pl|Král
trp_dwarf_lord|Král Dain II Železná Noha
trp_dwarf_lord_pl|Král
trp_dunland_lord|Náčelník Daeglaf Černý
trp_dunland_lord_pl|Náčelník
trp_beorn_lord|Náčelník Drsmed Starý
trp_beorn_lord_pl|Náčelník
trp_lorien_marshall|Celeborn
trp_knight_1_1|Angborg Nebojácný
trp_knight_1_2|Húrin Klíčník
trp_knight_1_3|Kníže Imrahil
trp_knight_1_4|Orthalion
trp_knight_1_5|Duinhir
trp_knight_1_6|Hirluin Sličný
trp_knight_1_7|Faramir
trp_knight_1_8|Forlong Tlustý
trp_knight_1_9|Grimbold
trp_knight_1_10|Erkenbrand
trp_knight_1_11|Elfhelm
trp_knight_1_12|Hama
trp_knight_1_13|Gamling
trp_knight_1_14|Éomer
trp_knight_1_15|Ugluk
trp_knight_1_16|Mauhur
trp_knight_1_17|Mog Sedmiprstý
trp_knight_1_18|Dlouhán Husnak
trp_knight_1_19|Gridas Stromohryz
trp_knight_1_20|Gronk Lidožrout
trp_knight_2_1|Kapitán Mortach
trp_knight_2_2|Beruthiel
