
str_yes|是
str_npc16_signup_response_2|我受够了。
str_npc17_signup_response_2|话说，我想我改变主意了。你貌似不太正常，不是么？
str_npc1_payment|我很想加入你的队伍，可是我的法拉墨队长更需要我在这里。[需要{s14}的{reg14}点影响力]
str_npc2_payment|我担心军士大人是不会放我离开这里的。[需要{s14}的{reg14}点影响力]
str_npc3_payment|啊…呜…我在这儿的客栈可是欠了不少账，在付清之前我是走不了的。[需要{s14}的{reg14}点影响力]
str_npc4_payment|我很想加入你的队伍，但要是我走之后城市被进攻，谁能照顾伤员？[需要{s14}的{reg14}点影响力]
str_npc5_payment|我们会很快一同踏上旅途的，但不是现在。罗斯洛立安依旧需要我在这里协助。如果我的加入被敌人早早得知的话，价值就会大大降低。[需要{s14}的{reg14}点影响力]
str_npc6_payment|我很想加入你的队伍，但职责所在，现在我不能离开。[需要{s14}的{reg14}点影响力]
str_npc7_payment|我很想加入你的队伍，但在最需要帮助的时刻离开这里，我高贵的父亲德瓦林是不会理解我的。[需要{s14}的{reg14}点影响力]
str_npc8_payment|我还是不能放弃我的职责，我的国王仍然需要我。毕竟他的健康和河谷镇的安全息息相关。[需要{s14}的{reg14}点影响力]
str_npc9_payment|我很想跟你走，但城门的守卫是不会放行的。^相信我，我试过了。[需要{s14}的{reg14}点影响力]
str_npc10_payment|我很想加入你的队伍，但职责所在，现在我不能离开。[需要{s14}的{reg14}点影响力]
str_npc11_payment|我只需要某个人去搞定大佬。我们当然能等他永远把眼睛闭上，但要是有猛人让他睁一只眼闭一只眼就好啦！[需要{s14}的{reg14}点影响力]
str_npc12_payment|嘿哟！我需要提醒伙计们把他们的肛门闭紧点儿，否则要是某个头儿知道他，他们肯定会把我的肠子扯出来的。相信我，他们一定会的！[需要{s14}的{reg14}点影响力]
str_npc13_payment|啊酋长不会放我离开的，你有法子说服他们么？[需要{s14}的{reg14}点影响力]
str_npc14_payment|说服港口队长放我离开可要费不少嘴皮子。你先去搞定他，然后我们就能一起出海面对风暴啦！[需要{s14}的{reg14}点影响力]
str_npc15_payment|啊，没错！伟大的！战士！领主！只不过这儿还有点小问题！一个对我巨大的不公，这个洞穴的主人不喜欢我对治疗的提议，还偷了我所有的设备！大胆无礼！竟敢偷伟大的博扎克的东西！主人，我没法从他的肮脏的爪子下收回我无价的设备！[需要{s14}的{reg14}点影响力]
str_npc16_payment|我不会永远追随你，我有自己的路要走；不过你的路会跟我的重合一段。在我们出发之前，我必须先向那些先于先死之人表达敬意。我也希望你能表达你的敬意，然后我们就可以离开了。任何人都不能忘记他的祖先，正如祖先从来没有忘记我们一样。[需要{s14}的{reg14}点影响力]
str_npc17_payment|我喜欢树，但我的老叔需要我。[需要{s14}的{reg14}点影响力]
str_npc1_payment_response|不用担心，我会和他解决好你的空缺所带来的问题的。[花费{reg14}/{reg15}点影响力]
str_npc2_payment_response|不用担心，我会和你的军士详谈的。[花费{reg14}/{reg15}点影响力]
str_npc3_payment_response|我会帮你结清所有账单的，希望你值得我的付出。[花费{reg14}/{reg15}点影响力]
str_npc4_payment_response|这的确是一个高尚的原因，但我相信会找到替代你的人的。[花费{reg14}/{reg15}点影响力]
str_npc5_payment_response|请相信我，你的加入比留在这里更有价值。[花费{reg14}/{reg15}点影响力]
str_npc6_payment_response|从今往后你的职责就是跟随我。[花费{reg14}/{reg15}点影响力]
str_npc7_payment_response|德瓦林大人会理解的，毕竟一个可以逆转战局的矮人战士不应该和敌人隔离太久。[花费{reg14}/{reg15}点影响力]
str_npc8_payment_response|国王的健康是很重要，但跟着我你会拯救更多的生命。[花费{reg14}/{reg15}点影响力]
str_npc9_payment_response|哦？不过跟我在一起，守卫是不敢阻拦你的。[花费{reg14}/{reg15}点影响力]
str_npc10_payment_response|从今往后你的职责就是跟随我。[花费{reg14}/{reg15}点影响力]
str_npc11_payment_response|忘记你的大佬吧，你现在为我服务。[花费{reg14}/{reg15}点影响力]
str_npc12_payment_response|你的伙计们很快就会得到新的命令了，我会解决你的那些头儿的。[花费{reg14}/{reg15}点影响力]
str_npc13_payment_response|他们很快就会改变观点了，因为我现在才是你的酋长。[花费{reg14}/{reg15}点影响力]
str_npc14_payment_response|你永远也不需要再担心你的旧·港口长官了。[花费{reg14}/{reg15}点影响力]
str_npc15_payment_response|无价的是吧？那我会帮你拿回来的。[花费{reg14}/{reg15}点影响力]
str_npc16_payment_response|向你我的祖先献上敬意。[花费{reg14}/{reg15}点影响力]
str_npc17_payment_response|你的老叔没问题的，你现在跟我走。[花费{reg14}/{reg15}点影响力]
str_npc1_morality_speech|队长，我不明白你为何{s21}并且放弃我们的人。 法拉墨队长从来都没有失去对于麾下游侠的怜悯，更不会导致他们无端受苦。
str_npc2_morality_speech|我希望您别介意我接下来的话，但看着我们{s21}却一言不发对我来说还是有点难。也许我一直嘴上说我要变得更铁血一些，但如果可以的话，我还是希望您试着多…关心关心我们的士兵，这样我晚上也能睡个好觉。
str_npc3_morality_speech|指挥官，我们埃奥尔族（洛汗人自称）永不{s21}。我们的马不会轻易疲劳，一旦我们重组，没有什么是长距离骑兵冲锋解决不了的事儿。下次我们再与地方作战的时候请你留心。
str_npc4_morality_speech|不要在意士兵们的过激言论，有时{s21}是最明智的行为。我相信留得有用之身不是为了别的，而是当未来某一天命运眷顾我们的时候和敌人展开殊死较量。
str_npc5_morality_speech|您必须慎重考虑您的行为，指挥官。{s21}使我和其他战士们颜面无存，而且这还会减少我们盟友的信心。
str_npc7_morality_speech|我并不为您作出{s21}的决定感到高兴。战死是任何脑袋正常的矮人心中的荣耀，而被懦夫带领则是羞耻。要是我的表亲们知道这事儿，他们会怎么评价我？
str_npc8_morality_speech|指挥官，我不得不说，{s21}对任何一个男人来说都是严酷且不必要的。我会尽我所能减少他们的痛苦，但请不要再犯这样严重的错误了。
str_npc9_morality_speech|一个好战的强兽人永不{s21}。如果主人现在还有丁点胆量…或许某天早上就丁点儿不剩了，葛玛说完了。
str_npc15_morality_speech|你可能觉得伟大的博扎克可以治愈一切，{playername}，但哪怕是我也有极限！如果你继续{s21}，哪怕是我的才能也会不够！你必须给我一些支持！我没法战胜死亡，不管是因为饿死还是被碾成渣！
; str_npc1_2ary_morality_speech|Captain, I have been raised as a Dúnadan, both in valor and honour. I would prefer if we don't {s21}.
str_npc4_2ary_morality_speech|请你原谅，指挥官。像我这样的女战士宁可直面死亡也不远获得耻辱。{s21}是对我的马和祖先的羞辱。
str_npc15_2ary_morality_speech|嗨嗨嗨！你真狡猾，哦大人！你收起黄金，点了点头，说'是的，主人！'，但你把所有时间都用来规划这个！嗨嗨！只是我们必须小心点，确保老大看不见你欺骗他…
str_npc1_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc2_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc3_personalityclash_speech|指挥官，我们何时才能结束与{s11}同队的生活啊？我知道他腿上的确很灵活，但他关于埋伏的谈话真是太频繁，以至于我都无法忍受了—他和他族民的谨慎性格真是不同。
str_npc4_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc5_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc6_personalityclash_speech|{playername}，我刚刚看到{s11}公然从一个满是雏鸟的鸟巢旁边经过。他的笨拙摧毁了那群无辜生命。
str_npc7_personalityclash_speech|{s11}大人在战斗中表现得很好，但我不知道他是否利用头发闪瞎他的敌人？还是说他们对他的名声和傲慢风度感到敬畏？
str_npc8_personalityclash_speech|指挥官，我必须对{s11}提出投诉。他不停的纠缠我，让我给他酿造某种名为‘绿色仙女’的东西。
str_npc9_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc10_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc11_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc12_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc13_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc14_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc15_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc16_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc17_personalityclash_speech|我之前提到过我厌恶{s11}吗？
str_npc1_personalityclash_speech_b|我厌恶{s11}。
str_npc2_personalityclash_speech_b|我厌恶{s11}。
str_npc3_personalityclash_speech_b|我对刚铎人没什么意见，但要我说，队伍中有更多英勇骑手总比有更多顽强‘抱地者’好，如果你明白我的意思的话。
str_npc4_personalityclash_speech_b|我厌恶{s11}。
str_npc5_personalityclash_speech_b|我厌恶{s11}。
str_npc6_personalityclash_speech_b|他的矮人之道有可能帮助他在地下更好的生存，但他至今没有掉进一个丑陋竖井显然是一个奇迹，也许他应该掉下去。
str_npc7_personalityclash_speech_b|我觉得队伍中要是有一位矮人英雄会更好，比如不死都灵的族人，让我我们就可以让精灵们在他们自己的树林中折腾了。
str_npc8_personalityclash_speech_b|它是由浸在酒中的蒿木制成，受到吟游诗人和流浪汉的青睐，他们可是靠着这种东西白日做梦呢。我怀疑你会批准你的士兵在战场上追逐空气，尽管这种场面看起来应该会很有趣。
str_npc9_personalityclash_speech_b|我厌恶{s11}。
str_npc10_personalityclash_speech_b|我厌恶{s11}。
str_npc11_personalityclash_speech_b|我厌恶{s11}。
str_npc12_personalityclash_speech_b|我厌恶{s11}。
str_npc13_personalityclash_speech_b|我厌恶{s11}。
str_npc14_personalityclash_speech_b|我厌恶{s11}。
str_npc15_personalityclash_speech_b|我厌恶{s11}。
str_npc16_personalityclash_speech_b|我厌恶{s11}。
str_npc17_personalityclash_speech_b|我厌恶{s11}。
str_npc1_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc2_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc3_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc4_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc5_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc6_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc7_personalityclash2_speech|一场不错的小冲突，是吧队长？要是没有精灵女士{s11}那些丧气的行为就更好了。
str_npc8_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc9_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc10_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc11_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc12_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc13_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc14_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc15_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc16_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc17_personalityclash2_speech|我之前提到过我厌恶{s11}吗？
str_npc1_personalityclash2_speech_b|我厌恶{s11}。
str_npc2_personalityclash2_speech_b|我厌恶{s11}。
str_npc3_personalityclash2_speech_b|我厌恶{s11}。
str_npc4_personalityclash2_speech_b|我厌恶{s11}。
str_npc5_personalityclash2_speech_b|我厌恶{s11}。
str_npc6_personalityclash2_speech_b|我厌恶{s11}。
str_npc7_personalityclash2_speech_b|我看到她在后方畏缩着，几乎没有往敌人的方向上放一两箭。要我说我们应该让她去照看鸟儿和蜜蜂，这样我们就可以继续杀死敌人的血腥工作了。
str_npc8_personalityclash2_speech_b|我厌恶{s11}。
str_npc9_personalityclash2_speech_b|我厌恶{s11}。
str_npc10_personalityclash2_speech_b|我厌恶{s11}。
str_npc11_personalityclash2_speech_b|我厌恶{s11}。
str_npc12_personalityclash2_speech_b|我厌恶{s11}。
str_npc13_personalityclash2_speech_b|我厌恶{s11}。
str_npc14_personalityclash2_speech_b|我厌恶{s11}。
str_npc15_personalityclash2_speech_b|我厌恶{s11}。
str_npc16_personalityclash2_speech_b|我厌恶{s11}。
str_npc17_personalityclash2_speech_b|我厌恶{s11}。
str_npc1_personalitymatch_speech|您看到了{s11}在战场上的优雅了吗？就是那种片叶不沾衣但招招毙命的战斗方式。就像老故事里讲的那样，精灵女士在战场上的优雅和在她们树庭中的一样。
str_npc2_personalitymatch_speech|打扰您了，指挥官。我刚刚帮助{s11}修理较量过后武器的小损伤，他竟然答应教我提升我的技击技巧。
str_npc3_personalitymatch_speech|你不觉得洛汗执盾之女的冲锋很让人惊奇么？ 我一直觉得女人们最好还是待在家靠着炉膛，但当我看到{s11}上场战斗击倒敌人的时候，我开始怀疑我之前的想法是否正确了。
str_npc4_personalitymatch_speech|一场伟大的战斗，指挥官，我在此祝贺你的胜利。同时我注意到{s11}如何认真细致的治疗了所有伤员，甚至连敌人都获得了应得的照顾。
str_npc5_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc6_personalitymatch_speech|{playername}，我讨厌战斗，所以我在战时没法帮忙。我注意到{s11}大人光芒万丈般的冲了出去，然后像雄鹰一样扑在了邪恶造物身上。
str_npc7_personalitymatch_speech|血腥和胜利，正如我所喜欢的！然而我确实受了点小伤，但{s11}已经很好地帮我包扎了。
str_npc8_personalitymatch_speech|又是一场胜利，指挥官，我对您的战术安排非常满意，像{s11}那样的战士也把您的战术发挥得淋漓尽致。
str_npc9_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc10_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc11_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc12_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc13_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc14_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc15_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc16_personalitymatch_speech|我之前提到过我喜欢{s11}吗？
str_npc17_personalitymatch_speech|嗯，酋长。我觉得{s11}在森林中如鱼得水，能在一篇柳叶上看到一粒尘土。
; str_npc1_personalitymatch_speech_b|I find the company of {s11} very pleasing and her native woodcraft a rare glimpse of what remains of Sindarin skills in the world. You know, my father named me after the legendary Sindarin Elf captain serving King Thingol of Doriath and I always feel a special bond to the fair race.
str_npc2_personalitymatch_speech_b|我在家乡的父老经常给我讲伊西利安游侠的故事，现在我亲眼见识到了故事中发生的一切。如果他们每个人都像{s11}那么厉害，刚铎一定会变得安全许多对吧。
str_npc3_personalitymatch_speech_b|指挥官，我个人建议您在下次战斗中命令{s11}尽量靠后站。我实在不忍心看到她在战场上受伤。还有，这不是酒后胡言。
str_npc4_personalitymatch_speech_b|保护生命是非常崇高的行为，我能与那种灵魂产生共鸣，即使我们的世界相距甚远。
str_npc5_personalitymatch_speech_b|我喜欢{s11}。
str_npc6_personalitymatch_speech_b|我在想他有多大年龄，或许比我老上十几个世纪？算了，您不会明白的。
str_npc7_personalitymatch_speech_b|{s11}和她的河谷镇族人哪怕达不到矮人战士的标准，但还时这场战争中我们最坚定的盟友。要我说，他们是人类中朋友和伴侣的最好选择。
str_npc8_personalitymatch_speech_b|河谷镇人非常尊重坚强的孤山矮人。尽管我们有着不同的种族和风俗，但他们依旧是我们的好友和值得托付后背的伙伴，
str_npc9_personalitymatch_speech_b|我喜欢{s11}。
str_npc10_personalitymatch_speech_b|我喜欢{s11}。
str_npc11_personalitymatch_speech_b|我喜欢{s11}。
str_npc12_personalitymatch_speech_b|我喜欢{s11}。
str_npc13_personalitymatch_speech_b|我喜欢{s11}。
str_npc14_personalitymatch_speech_b|我喜欢{s11}。
str_npc15_personalitymatch_speech_b|我喜欢{s11}。
str_npc16_personalitymatch_speech_b|我喜欢{s11}。
str_npc17_personalitymatch_speech_b|我们的人和木精灵处的很好。他们喜欢树，我们也喜欢树，我们都喜欢树。
str_npc1_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc2_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc3_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc4_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc5_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc6_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc7_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc8_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc9_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc10_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc11_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc12_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc13_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc14_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc15_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc16_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc17_retirement_speech|我似乎对战士的生活有些厌倦了，我准备退伍。
str_npc1_rehire_speech|好久不见，队长。我能再次加入你的队伍么？
str_npc2_rehire_speech|希望您今天过得愉快，我能请求再一次加入你的队伍么？
str_npc3_rehire_speech|哈！再次一起奔驰于草原如何？
str_npc4_rehire_speech|再次欢迎。我们要从上次停止得地方继续开始么？
str_npc5_rehire_speech|很高兴见到你，{playername}。让我们再一次一起旅行。
str_npc6_rehire_speech|很高兴见到你，{playername}。我们要一同踏上旅途么？
str_npc7_rehire_speech|我的斧子已经准备好了，{playername}。你要我重新加入么？
str_npc8_rehire_speech|你的出现真让我受宠若惊，我能再次加入你的队伍么？
str_npc9_rehire_speech|葛玛准备好再次为你杀敌了，走么？
str_npc10_rehire_speech|我能再次为你服务吗？
str_npc11_rehire_speech|我能再次为你服务吗？
str_npc12_rehire_speech|我能再次为你服务吗？
str_npc13_rehire_speech|我能再次为你服务吗？
str_npc14_rehire_speech|我能再次为你服务吗？
str_npc15_rehire_speech|啊，伟大的主！我找你找了很久了，因为你荣耀的行为在中土世界已经传播开来了。你一定也很想念我的能力吧？你肯定会张开双臂再次欢迎我，来补足你伟大军队？
str_npc16_rehire_speech|我能再次为你服务吗？
str_npc17_rehire_speech|嘿，又要准备出发了？树待在那里不动，但我喜欢动。我当然也喜欢树。
str_npc1_home_intro|队长，我们正接近奥斯吉力亚斯，让我们寻找朋友的同时保持警惕。
str_npc2_home_intro|请保持警惕，指挥官！那里一定是米那斯魔窟。你不觉得有东西正在看着我们吗？
str_npc3_home_intro|指挥官，我能建议我们稍微休息一会儿么？我们已经接近恩特森林了，马儿们也累了。对了，有些人也管这里叫法贡森林。
str_npc4_home_intro|指挥官，我们在这儿休息一下吧！我们的前方是凯勒布兰特平原，它位于安都因河与林莱河之间。洛汗的开国国王伊欧曾经在这里协助我们的刚铎盟友。（注：凯勒布兰特平原战役，洛汗人在这里帮助刚铎逆转了战局并击退了毕额丘斯人的进攻，促成了洛汗王国的建立和刚铎洛汗的永世盟约）
; str_npc5_home_intro|Daro! That's Angrenost and the black tower of Orthanc ahead. Much has changed since I last saw them, and none for the better.
str_npc6_home_intro|打扰一下，{playername}。这部分路变得更加扭曲，一些还是死路。我们一定很接近多尔哥多了。
str_npc7_home_intro|呦，队长！这里一定是前往卡扎督姆东门的旧径，你也可能更熟悉他的另一个名字摩瑞亚。在这里你可以看到远方的镜影湖卡雷德—萨鲁姆；穿过云彩的三座山峰则让这部分迷雾山脉富有魅力。
str_npc8_home_intro|哦，一个让人好奇的景象！我曾在故事里听说，这里生活着一群和动植物和谐相处的健壮樵夫。我想他们应该自称波宁人。
str_npc9_home_intro|诅咒它！那一定就是号角堡了，主人。
str_npc10_home_intro|嘿！看！
str_npc11_home_intro|嘿！看！
str_npc12_home_intro|嘿！看！
str_npc13_home_intro|嘿！看！
str_npc14_home_intro|嘿！看！
str_npc15_home_intro|嘿！看！
str_npc16_home_intro|嘿！看！
str_npc17_home_intro|噢，这里长了一整片梅隆树！任何人都不应该砍倒它们，它们真是太美丽了！
str_npc1_home_description|这里曾经是一座美丽的城市，满是人群与欢笑，刚铎的旧王都。但现在这里只剩废弃的建筑与废墟，安都因河懒洋洋的流经鬼城。
str_npc2_home_description|很多年前，这里被称为米那斯伊希尔，传说中月亮用银色的光填满内廷，城墙则闪着银白之光。刚铎的守望者们站在墙上向东眺望，持续观察伊菲尔杜斯的另一边。（注：伊菲尔杜斯在辛达林语里是暗影山脉；）
str_npc3_home_description|这里的树干和树枝密得令人发慌，还有各种各样的树。我是不会冒险进去的，毕竟不是所有林中漫游的奇怪生物都人畜无害。
str_npc4_home_description|骁骏勇骑今何在？吹角长鸣何处闻？高盔铁衣今何在？明亮金发何处飘振？诗琴妙手今何在？俱往矣，如山岗微雨，草原飘风；落日西坠，幽隐山后。（摘自邓嘉宛译，魔戒魔戒同盟卷三第六章）
str_npc5_home_description|曾经由南方王国建造，现在则是人称白袍巫师的家；正计划着，毫无疑问，通过牺牲他人来进一步增强他的力量。
; str_npc6_home_description|I have never ventured this far, but I overheard our Greenwood scouts say there may be Nazgul here. I feel an evil presence, but I cannot put a name to it. It is powerful, though, so let us be prepared.
str_npc7_home_description|从这里的荒凉和许多半兽人足迹来看，我很担心勇敢的巴林和他探险的最终命运。看来摩瑞亚已经落入了阴影中，我们应该小心些。（注：巴林是霍比特人中跟随索林·橡木盾前往孤山的十三位矮人之一，后来进入摩瑞亚希望回复它昔日的荣光）
str_npc8_home_description|一个旅行商人偶尔会来到河谷镇集市，并售卖一种我这辈子尝过的最棒的蜂蜜。由于一些古怪的原因，他总说这种蜂蜜是熊做的，然后哈哈大笑。
str_npc9_home_description|这该死的城墙又高又硬，我的锤子根本打不破。我猜如果我们追击伊多拉斯的猪猡，他们肯定会跑到这里，然后蹲在墙后面瑟瑟发抖。
str_npc10_home_description|您知道那座城镇么？
str_npc11_home_description|您知道那座城镇么？
str_npc12_home_description|您知道那座城镇么？
str_npc13_home_description|您知道那座城镇么？
str_npc14_home_description|您知道那座城镇么？
str_npc15_home_description|您知道那座城镇么？
str_npc16_home_description|您知道那座城镇么？
str_npc17_home_description|我之前从来不知道，这里竟然有这么多美丽的树。真好奇有没有樵夫在这里工作。
str_npc1_home_description_2|如果刚铎被击败，西奥斯吉力亚斯会率先落入邪眼手下部落的掌控中。我只希望那天法拉墨队长能够坐镇指挥力挽狂澜。如果我们有多余的士兵可以加强这里的防御，我会非常非常感激的，队长。
str_npc2_home_description_2|人们都说现在这里充斥着可怕的半兽人、令人恐惧的灵魂，甚至还有更加恐怖的东西。 我祈祷当刚铎重新占领这里的时候，能清除掉所有的污秽与邪恶。
str_npc3_home_description_2|如果我们必须穿过恩特森林的话，希望我们能保持匆忙和隐蔽。我不知道谁可能在听我们的马蹄声，我也不想亲自找出来。（注：恩特森林是洛汗人口中的法贡森林）
str_npc4_home_description_2|我们会牢记过去的伟大事迹和牺牲。洛汗和刚铎的联军将再一次拯救我们的人民免遭厄运。
str_npc5_home_description_2|我只希望我们铭记，即使是伟大者的一员，甚至是一位埃斯塔力，都有可能被腐蚀和堕落。追求力量者必被力量所毁，只希望我们不要拖得太久。（注：埃斯塔力在昆雅语中意译为博学者，特指巫师）
str_npc6_home_description_2|我能感觉到墙后的邪恶大军正准备出发…去美丽的罗斯洛立安？去河谷镇？去我的家乡幽暗密林？我不知道，但请尽你的一切努力阻止他们。
str_npc7_home_description_2|如果命运带给我们一大支军队的话，我想我们应该冒险进入矿井，取回他们的巨大财富。
str_npc8_home_description_2|我闻到了甜蜜的花香，也看到了蜜蜂收获的蜜糖。如果您不介意的，我能去弄点蜂蜜自用么？我只需要几分钟就能搞定。
str_npc9_home_description_2|如果我们没有大量强兽人在背后支持的话，留在这里一点儿用处都没有。当然，如果你想对墙上的哨兵做鬼脸那就是另一回事儿了，哈哈！
; str_npc10_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc11_home_description_2|奥桑克塔看起来像是个巨大的…某个东西？
str_npc12_home_description_2|奥桑克塔看起来像是个巨大的…某个东西？
; str_npc13_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
; str_npc14_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
; str_npc15_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
; str_npc16_home_description_2|Minas Morgul, where Nazgul drink all day, har-har!
str_npc17_home_description_2|我可以凿一个优质烟斗给您。您需要烟斗么？
str_npc1_home_recap|我生长在伊西力安的一个战士家庭中，我的祖先甚至可以追溯到登丹人那里去。
str_npc2_home_recap|我出生在米那斯提力斯一个窘迫但我为之引以为豪的家庭。
str_npc3_home_recap|我是埃奥尔族的一员，或是外人口中洛汗人。（注：埃奥尔族是洛汗人语言中对自己民族的称呼）
str_npc4_home_recap|你如此轻易忘记并不令我感到有趣。
str_npc5_home_recap|我会满足你的好奇心的，但别在这儿逗留了。
str_npc6_home_recap|我生长在幽暗密林中，是一位西尔凡精灵。我们族人的木工技术无可匹敌。
str_npc7_home_recap|我是德瓦林之子，都灵的子民。
str_npc8_home_recap|我是一名来自河谷镇的治疗师兼草药医生。
str_npc9_home_recap|葛玛会说如果你一定要听，但讲故事可杀不死敌人。
str_npc10_home_recap|我会尽快搞定的。
str_npc11_home_recap|我会尽快搞定的。
str_npc12_home_recap|我会尽快搞定的。
str_npc13_home_recap|我会尽快搞定的。
str_npc14_home_recap|我会尽快搞定的。
str_npc15_home_recap|我会尽快搞定的。
str_npc16_home_recap|我会尽快搞定的。
str_npc17_home_recap|我出生在这片树林的边缘，但一生都花在了这片森林里。我之前提到了那里有很多树了么？
str_npc1_honorific|队长
str_npc2_honorific|指挥官
str_npc3_honorific|指挥官
str_npc4_honorific|指挥官
str_npc5_honorific|指挥官
str_npc6_honorific|战士
str_npc7_honorific|队长
str_npc8_honorific|指挥官
str_npc9_honorific|主人
str_npc10_honorific|主人
str_npc11_honorific|主人
str_npc12_honorific|主人
str_npc13_honorific|酋长
str_npc14_honorific|队长
str_npc15_honorific|主人
str_npc16_honorific|酋长
str_npc17_honorific|酋长
str_comment_intro_liege_affiliated|有人告诉我你已经向某个质疑我王位的人起誓。但是我们仍然可以谈谈。
str_comment_intro_famous_liege|你的名声来的比你的人快！也许你该寻求一个配得上你的英勇的君主了。
str_comment_intro_famous_martial|你的名声来的比你的人快！或许我们该在竞技场或者战场上比较一下双方的勇武！
str_comment_intro_famous_badtempered|我听说过你。无需客套，请直言吧。
str_comment_intro_famous_pitiless|我知道你的名字，它让很多人从心里感到害怕。这很好，或许我们该找个时间好好谈谈。
str_comment_intro_famous_cunning|哈，我们终于见面了，感觉你是一位值得我认识的{绅士/淑女}。让我们好好谈谈吧。
str_comment_intro_famous_sadistic|我听说过你—如果我没记错的话，很多悲伤的丧偶之人也知道你的名字。不过这些都跟我无关。
str_comment_intro_famous_goodnatured|久仰大名，今日得见果然名不虚传。
str_comment_intro_famous_upstanding|我听说过你，他们说你是最英勇的战士。希望你的荣誉和仁慈与勇猛相配。
str_comment_intro_noble_liege|我看你带着面贵族的旗子，不过我不认得这个徽标。你应该知道，我总在寻找能为我而战的勇士。当然，是在他们证明自己可以被信赖之后。
str_comment_intro_noble_martial|我看你带着面贵族的旗子，不过我不认得这个徽标。或许我们该在竞技场或者战场上比较一下双方的勇武！
str_comment_intro_noble_badtempered|我不认得你旗子上的这个徽标。一定又是个外乡人到这里来了，好像这里还不够多似的。
str_comment_intro_noble_pitiless|看你带着面贵族的旗子，不过我不认得这个徽标。毫无疑问，又一只战争的秃鹰。
str_comment_intro_noble_cunning|我看你带着面贵族的旗子，不过我不认得这个徽标。可能有一天{你/你}会证明自己是一位伟大的战士，交上这样的朋友总是很划算的。
str_comment_intro_noble_sadistic|我看你带着面贵族的旗子，不过我不认得这个徽标。或者你是个该死偷牛贼的{儿子/女儿}？或者是你偷了这面旗帜？
