menu_start_game_1|^^^^^^^^^^你为何而战？
menu_burial_mound_oath|你高声宣誓，一定要为{s4}的死复仇。你将坚持不懈地追逐超越{s3}的力量，并会亲手将其杀死。 你的誓言随风而漾，四海皆知。
menu_funeral_pyre_oath|你高声宣誓，一定要为{s4}的死复仇。你将日以夜继地追踪{s3}的部队，并亲手碾碎他们。你的誓言随风而漾，四海皆知。
mno_leave_pyre_oath|离开火葬堆
menu_burial_mound_despoil|你亲手推倒了{s1}的墓碑，恶毒地诅咒和谩骂，对这个石块做了一些无法形容的暴行。你的追随者因感到恐惧而后退，但他们为你的恶行再一次对你感到敬畏。
menu_funeral_pyre|你来到一处属于{s3}的{s2}的火葬堆。他在和{s28}的战斗中战败。他的遗体被他的亲卫隆重地火葬，没有一丝残余。
mno_leave_pyre|离开火葬堆
menu_town_ruins|当你靠近，你看到{s1}实际上是{s2}
mno_ruin_menu_0|探索这个地方。
mno_ruin_leave|离开…
menu_premutiny|无
menu_death|你被杀害了。 尽管战争仍旧如火如荼，但这已经不是你要关心的事儿了。
menu_animal_ambush|你和你的同伴在休息的时候，突然分开了…
menu_animal_ambush_success|你面前的{s2}{reg0?堕落者：堕落者}如小麦般被你收割。很快，所有的攻击者都躺倒在地，重伤或死亡。 {s3}
menu_animal_ambush_fail|动物咬撕你{reg0?，:和你的同伴{reg2?们，:，}}但幸运的是，你设法避开他们。希望他们不会再攻击你。
; menu_isengard_flooding|^^^^^@You are surrounded by dead foes and triumphant allies, including the Ents; they roar, and boom, and trumpet, until stones crack and fall all around the Tower of Orthanc. They are like a howling gale, breaking pillars, hurling avalanches of boulders down the shafts, tossing up huge slabs of stone into the air like leaves... It is like nothing you have ever seen.^^ Bregalad -- or Quickbeam, as you know him -- comes striding by, and pauses only to say, '{playername}! Ware! Keep away from the Tower -- we shall soon break the dam and bring the Isen into this valley, for a little while. You will find it very hard to stay standing here, I think!' Quickly, you take his advice and hasten away from Orthanc.^^ At about midnight, Isengard begins to fill up with black creeping streams and pools. You cannot help but shiver as you see smoke and steam rising in great pillars, and a great coil of vapour rising and snaking around the Tower, until it resembles a tall peak of cloud, fiery underneath and moonlit above. The wrath of the Ents is slow, but possesses an irresistible force...
; mno_isengard_continue|Continue
menu_build_your_scene|你可以在这里创造属于你自己的战场场景。首先在设置中打开编辑模式，再选择底下任意一个存位，然后进入场景按Ctrl+E打开编辑模式。你可以把自己的作品提交给TLD制作组，做得很好的话，你的场景会在下一版本的随机战斗中出现！（提交时请重命名，并把TLD/SceneObj文件夹下相应的sco文件发给制作组）^^记得说明你所制作的场景，具体是在中土的哪个地方。 ^友情提示：不要做深水或高山，或是其他难以通行的地形——除非你是资深场景制作师，明白如何利用AI网格让AI避开“陷坑”。^（#0~1是给攻击方，＃4是给防守方，别碰＃5-8
mno_scene1|大型平原（file scn custom 1.sco）
mno_scene2|中型平原（file scn custom 2.sco）
mno_scene3|小型平原（file scn custom 3.sco）
mno_scene4|大型草原（file scn custom 4.sco）
mno_scene5|中型草原（file scn custom 5.sco）
mno_scene6|小型草原（file scn custom 6.sco）
mno_scene7|大型森林（file scn custom 7.sco）
mno_scene8|中型森林（file scn custom 8.sco）
mno_scene9|小型森林（file scn custom 9.sco）
mno_back_3dot|返回…
mno_back|返回
mno_next|接下来…
