itm_horse_meat|马肉
itm_umbar_pike|海盗三叉戟
itm_woodman_tunic|林地人束腰外衣
itm_woodman_scout|林地人斥候披肩
itm_woodman_padded|林地人加厚甲
itm_beorn_tunic|波宁束腰外衣
itm_beorn_padded|波宁加厚甲
itm_beorn_heavy|波宁重型甲
itm_beorn_berserk|波宁狂战士套件
itm_beorn_chief|波宁酋长束腰外衣
itm_beorn_helmet|熊头骨
itm_beorn_shield|北方人盾
itm_beorn_axe|波宁斧
itm_beorn_staff|林地人木棒
itm_beorn_battle_axe|波宁战斧
itm_dwarf_shield_a|矮人角盾
itm_dwarf_shield_b|矮人塔盾
itm_dwarf_shield_c|矮人战斗盾
itm_dwarf_shield_d|矮人圆盾
itm_north_round_shield|北方人圆盾
itm_woodmen_heavy|幽暗密林甲
itm_dwarf_sword_a|矮人剑
itm_dwarf_sword_b|波宁短剑
itm_dwarf_sword_c|矮人剑
itm_dwarf_sword_d|矮人剑
itm_dwarf_battle_axe|矮人战斧
itm_dwarf_great_axe|矮人巨斧
itm_dwarf_great_mattock|矮人巨型鹤嘴锄
itm_dwarf_great_pick|矮人巨型矿镐
itm_dwarf_throwing_axe_reward|Erebor Flying Axes
itm_dwarf_mattock|矮人鹤嘴锄
itm_dwarf_hand_axe|矮人短斧
itm_dwarf_throwing_axe|Dwarf Throwing Axes
itm_dwarf_spear|矮人长枪
itm_dwarf_spear_b|矮人长枪
itm_dwarf_spear_c|矮人巨斧
itm_dwarf_helm_coif|矮人兜帽
itm_dwarf_nasal_b|矮人护鼻盔
itm_north_skullcap|北方骷髅帽
itm_dwarf_helm_kettle|矮人帽盔
itm_dwarf_helm_fris|矮人椭圆饰纹覆面盔
itm_north_leather_skullcap|北方人轻头骨
itm_dwarf_hood|矮人兜帽
itm_dwarf_nasal|矮人护鼻盔
itm_north_nasal_helm|北方护鼻盔
itm_dwarf_helm_p|矮人国王盔
itm_dwarf_miner|矮人轻型盔
itm_north_chieftain|北方人酋长盔
itm_dwarf_helm_round|矮人圆盔
itm_dwarf_helm_sallet|矮人头盔
itm_dwarf_armor_d|铁丘陵鳞甲外套
itm_dwarf_armor_a|孤山罩锁甲束腰长衣
itm_leather_dwarf_armor|矮人加厚外套
itm_dwarf_armor_b|孤山罩锁甲束腰外衣
itm_leather_dwarf_armor_b|矮人加厚短上衣
itm_dwarf_armor_c|孤山鳞锁甲
itm_dwarf_vest|矮人束腰外衣
itm_dwarf_vest_b|铁丘陵链甲
itm_dwarf_pad_boots|矮人加厚靴
itm_dwarf_chain_boots|矮人链胫甲
itm_dwarf_scale_boots|矮人鳞甲靴
itm_good_mace|钉头锤
itm_mordor_banner|魔多旗帜
itm_isengard_banner|艾辛格旗帜
itm_woodelf_banner|幽暗密林旗帜
itm_lorien_banner|罗斯洛立安旗帜
itm_imladris_banner|瑞文戴尔旗帜
itm_gondor_lance_banner|刚铎带旗骑枪
itm_amroth_lance_banner|多尔安罗斯带旗骑枪
itm_rohan_lance_banner_sun|洛汗烈日旗骑枪
itm_rohan_lance_banner_horse|洛汗骠骑旗骑枪
itm_fur_gloves_reward|猎手手套
itm_ent_water|一碗奇怪的水
itm_map|中土世界地图
itm_athelas_reward|干阿西拉斯草
itm_phial_reward|凯兰崔尔之光
itm_scroll_reward|刚铎之秋
itm_hammer_reward|史密斯战锤
itm_khand_knife_reward|侃德祭刀
itm_angmar_whip_reward|主人之鞭
itm_horn_gondor_reward|刚铎号角
itm_harad_totem_reward|哈拉德图腾
itm_elven_amulet_reward|精灵护身符
itm_torque_reward|邪恶颈环
itm_orc_brew|半兽人酒
itm_rohan_saddle|Saddle
itm_mearas_reward|骏马麦赫
itm_shield_of_tuor|图尔之盾
itm_riv_armor_reward|瑞文戴尔饰纹甲
itm_westernesse1h_reward|西方皇族之剑
itm_westernesse2h_reward|西方皇族之剑
itm_mirkwood_sword_reward|幽暗密林遗物剑
itm_nazgul_sword|邪剑
itm_cooking_cauldron|烹饪釜
itm_eorl_cavalry_sword|先王伊欧的剑
itm_garlic_reward|大蒜
itm_silmarillion_reward|精灵宝钻
itm_herbarium_reward|中土大陆植物志
itm_book_of_moria|马萨布尔之书
itm_ring_a_reward|忒卡芮希尔
itm_ring_b_reward|芬莴芮希尔
itm_dale_bow_reward|神射手巴德的弓
itm_tome_of_knowledge|神秘学巨著
itm_orc_idol_reward|原初半兽人像
itm_crebain_reward|巨鸦
itm_miruvor_reward|精灵甜酒瓶
itm_wheeled_cage|巨型笼车
itm_orc_throwing_axes_reward|刚达巴飞斧
itm_corsair_throwing_dagger_reward|萃毒投掷匕首
itm_dwarf_shield_reward|镜湖盾
itm_dwarf_great_axe_reward|锋利的侏儒斧
itm_isen_uruk_heavy_reward|强兽人将军甲
itm_lorien_bow_reward|诺德林弓
itm_elven_cloak|精灵斗篷
itm_dale_sword_reward|河谷镇皇家长剑
itm_dale_armor_reward|河谷镇贵族链甲
itm_leather_gloves_reward|射手手套
itm_beorn_shield_reward|波宁盾
itm_beorn_axe_reward|熊棍
itm_drums_of_the_deep|深渊之鼓
itm_khamul_helm|戒灵克哈穆尔的头盔
itm_black_arrows_reward|黑箭
itm_leather_boots_reward|猎人靴
itm_rohan_armor_th|洛汗皇家盔甲
itm_wilderness_cowl|Hunter Cowl
itm_prisoner_coll_chain|俘虏手链
itm_witchking_helmet|法师面具盔
itm_feet_chains|脚链
itm_feet_chains_dwarf|脚链
itm_spider|蜘蛛
itm_bear|熊
itm_wolf|狼
itm_werewolf|狼人
itm_thrush_reward|画眉鸟
itm_gauntlets_reward|铁拳
itm_stones_siege|围城石块
itm_beorn_axe_no_attack|波宁斧
