str_yes|Oui.
str_npc2_backstory_response_1|Effectivement, j'ai besoin de volontaires.
str_npc3_backstory_response_1|Si vous pouvez faire sans bière, j’accueillerais avec plaisir un bon cavalier.
str_npc4_backstory_response_1|J'accepterais avec joie l'aide d'une guerrière du Rohan, si elle me l'offrait.
str_npc5_backstory_response_1|Il peut paraître présomptueux de ma part de demander, mais ma compagnie pourrait avoir besoin de vos compétences dans les batailles à venir.
str_npc6_backstory_response_1|Nous voyageons dans le monde, mais pour défendre tout ce qui est juste, nous livrons bataille à l'ennemi.
str_npc7_backstory_response_1|En effet, un guerrier nain serait le bienvenu dans ma compagnie.
str_npc8_backstory_response_1|Nous pouvons avoir l'utilité d'un guérisseur et d'un botaniste.
str_npc9_backstory_response_1|J'admet qu'un berserk nous serait utile.
str_npc10_backstory_response_1|Je le serai.
str_npc11_backstory_response_1|Que diriez-vous de faire rouler des têtes avec moi ?
str_npc12_backstory_response_1|Que diriez-vous de vous éclipser avec moi ?
str_npc13_backstory_response_1|Que diriez-vous de me suivre ?
str_npc14_backstory_response_1|Que diriez-vous de vous joindre à moi ?
str_npc15_backstory_response_1|Aha... un guérisseur, hé ? Et vous êtes bon à ceci, vous dites ? Je pourrais utiliser quelqu'un comme vous.
str_npc16_backstory_response_1|Que faites-vous ici ?
str_npc17_backstory_response_1|Et bien, je pourrais en apprendre plus sur les arbres. Nous sommes heureux de vous avoir avec nous.
str_npc1_backstory_response_2|Je suis désolé d'entendre ça. Puisse votre foi soutenir votre courage.
str_npc2_backstory_response_2|Non, désolé. Je suis à la recherche de guerriers aguerris.
str_npc3_backstory_response_2|Non, désolé. Je cherche quelqu'un de plus fiable.
str_npc4_backstory_response_2|Je suis désolé, ma Dame, il n'y a rien que je puisse faire.
str_npc5_backstory_response_2|Je reviendrai lorsque la Lothlórien sera moins en danger.
str_npc6_backstory_response_2|Non, désolé. Nous ne pouvons prendre de parasites.
str_npc7_backstory_response_2|Non, désolé. Nous nous en sortons bien tout seul.
str_npc8_backstory_response_2|Non, désolé. Nous ne visitons les guérisseurs que lorsque nous en avons besoin.
str_npc9_backstory_response_2|Bah. Je n'accorde pas ma confiance aux traîtres.
str_npc10_backstory_response_2|Je n'ai pas besoin de vous, esclave.
str_npc11_backstory_response_2|Je ne veux pas avoir à vous entendre rôder.
str_npc12_backstory_response_2|Les grands patrons savent mieux que vous. Vous feriez mieux de suivre les ordres.
str_npc13_backstory_response_2|C'est votre destin de souffrir.
str_npc14_backstory_response_2|J'en ai assez.
str_npc15_backstory_response_2|Bah ! J'ai besoin de guerriers, pas de poltrons.
str_npc16_backstory_response_2|J'en ai assez.
str_npc17_backstory_response_2|Non, désolé. Nous allons en guerre, pas en excursion biologique.
str_npc1_signup|Je suis sûr que le seigneur Faramir comprendra qu'il n'y a personne d'autre qui peut maintenir l'Ennemi à distance avec autant de valeur et de courage.
str_npc2_signup|Oh, jour heureux! Ce serait un honneur de joindre votre compagnie.
str_npc3_signup|Croyez-moi, commandant, la seule boisson dont j'ai besoin est celle de la victoire. Si vous pouvez me mener contre l'Ennemi, Ils sentiront vite la saveur d'une lance rohirrim!
str_npc4_signup|C'est généreusement offert, je rejoindrais volontiers votre compagnie, commandant.
str_npc5_signup|Je vois. Il me semble avoir eu vent de vous et de vos exploits.
str_npc6_signup|Je n'aime pas la violence et les armes, mais je sais me défendre en cas d'attaque.
str_npc7_signup|Je suis adroit avec une hache, je sais la manier et la lancer. Je peux également garder vos factures basses si vous me laissez parlez aux marchands. Et j'ai l’œil pour trouver et piller les ennemis tués sur le champs de bataille.
str_npc8_signup|Et bien dans ce cas, j'ai simplement besoin de rassembler mes herbes et mes recettes.
str_npc9_signup|Un guerrier Uruk est bien plus valeureux que vous autres snagas. Un guerrier Uruk ne s'enfuit jamais du combat.
str_npc10_signup|Vraiment? Vous feriez bien de m'engager.
str_npc11_signup|Suivre votre troupe? Ar! J'ai entendu parler de toutes ces allées et venues et raids à l'Ouest, avec des centaines de nos hommes dedans. Je viens jeter un oeil tout de même, voir de quoi vous êtes capables.
str_npc12_signup|Suivre votre troupe? J'ai peut-être un peu de chance au final. J'ai un bon grognement, je l'admets, et mon fouet est vigilant. Il a gouté sa juste part de la peau de mes gars.
str_npc13_signup|Je peux vous suivre si vous me voulez. Mes jambes savent diriger parfaitement un cheval et mes mains connaissent la sensation d'une lame en croissant de lune. Mes doigts peuvent faire pleuvoir des flêches sur nos ennemis. Que ce soit à pied ou à cheval, je combattrai sous votre commandement.
str_npc14_signup|Peut-être, sachez que je ne suis pas un voleur ou un brigand. Je ne volerai pas, ni ne prendrais ce que les autres pourront trouver nécessaire.
str_npc15_signup|Heh-heh. Vous avez raison! Ouuii! Comme vous êtes avisés, Grand Capitaine.
str_npc16_signup|J'attends vos ordres, chaque seconde assombrissant mon coeur. Je ne supporte plus d'attendre les plans de lointains seigneurs et capitaines, leur existence tient plus du mythe que de la chair. Les seigneurs à qui on a chuchoté les ordres sont mis en avant et hués par des hommes de moindre envergure. J'attends, et avec moi, la vengeance de mon peuple attend aussi.
str_npc17_signup|Très bien! Je connais beaucoup d'arbres. Bientôt vous en connaitrez aussi. Comme moi. Car je connais beaucoup d'arbres.
str_npc1_signup_2|Attendez un instant que je parle à mon capitaine et que je rassemble mes affaires.
str_npc2_signup_2|Je dois en parler à mon sergent d'abord et ensuite nous partirons - il y a de glorieuses batailles à livrer et toutes sortes de créatures étranges à voir!
str_npc3_signup_2|J'attendais que quelqu'un me prenne, je vais donc seller mon cheval et nous serons prêts à partir.
str_npc4_signup_2|J'ai chassé de nombreuses fois avec des arcs et des lances. Je chasserais l'orque sous votre commandement. Et j'ai des talents de guérison, dont vous aurez surement besoin.
str_npc5_signup_2|Peut-être qu'en rejoignant votre compagnie et en frappant fort là où on ne m'attend pas, l'ennemi sera desavantagé. Je viens.
str_npc6_signup_2|Peut-être que je peux vous apprendre à vous déplacer plus vite et à faire moins de bruit. Allons-y.
str_npc7_signup_2|Si vous pouvez garder les peuples de grande taille de votre compagnie dans les rangs, en particulier les elfes sournois. Je vous rejoindrais avec plaisir.
str_npc8_signup_2|Je dois vous avertir cependant, je suis assez innutille en combat. Mais je suis sûre que vous êtes capable de garder une femme de mon âge en sécurité.
str_npc9_signup_2|Mais vous devriez vous décider vite, les gardes deviennent suspicieux.
str_npc10_signup_2|Vous ne regretterez pas de m'avoir pris.
str_npc11_signup_2|Il y a beaucoup de choses là-bas pour mon nez à sentir, et pour mon couteau à goûter. Ils n'en savent pas trop actuellement, mais ils apprennent vite. Qu'en dites vous ?
str_npc12_signup_2|Je vais montrer à vos limaces que là où il y a un fouet il y a de la volonté, et leur donner attend de coup de fouet que ce que leur peau peut supporter . Si vos gars le supportent bien, ça devrait les mettre au trot. Qu'en dites vous?
str_npc13_signup_2|Sachez, cependant, que ma loyauté reste toujours envers ma famille. j'ai combattu si loin et perdu tant pour eux. Je ne vais pas leur tourner le dos, de leur sort dependra le mien.
str_npc14_signup_2|It is just fortunate that those no longer of this world find no need of this world's treasures and I am fortunate to be skilled in ways that I may assist in relieving the worldly needs of the owners of those treasures.
str_npc15_signup_2|Oh, c'est un grand jour pour Bolzog le Doué, et pour vous, Grand Seigneur! Nous conquererons ensemble, vous, indestructible grâce à ma guerison, et moi, le Grand Sage Orque qui vous appuiera!
str_npc16_signup_2|J'ai bien peur de na pas pouvoir attendre plus longtemps. J'ai l'intention de rejoindre le prochain groupe qui quitte le camp, avec l'approbation du chef ou non. J'ai peur que la guerre ne s'achève longtemps avant que je ne me décide à la rejoindre.
str_npc17_signup_2|Je récupère quelques outils, et nous pourrons partir. Il y a ce chêne sur la route, je dois vous le montrer!
str_npc1_signup_response_1|J'ai besoin de soldats qualifiés, vous êtes le bienvenu.
str_npc2_signup_response_1|Très bien. Nous avons besoin de soutien dans ces temps sombres.
str_npc3_signup_response_1|Parfait. En selle - nous devrions partir bientôt.
str_npc4_signup_response_1|Excellent. Nous sommes prêts à partir, si vous l'êtes, ma Dame.
str_npc5_signup_response_1|Nous serions honorés d'avoir la companie d'un seigneur-Elfe.
str_npc6_signup_response_1|Très bien. J'espère que vous ne vous enfuirez pas dès les premiers orques que nous verrons.
str_npc7_signup_response_1|Très bien, Maître Nain, vous êtes le bienvenu.
str_npc8_signup_response_1|Vous serez en sécurité avec nous, je vous le promet. Nous partirons bientôt.
str_npc9_signup_response_1|Très bien. Faites ce que l'on vous dit, et je vous nourrirai bien.
str_npc10_signup_response_1|Très bien. Allons-y.
str_npc11_signup_response_1|Très bien. Allons-y.
str_npc12_signup_response_1|Je pense que nous pourrions vous mettre à profit.
str_npc13_signup_response_1|Je pense que nous pourrions vous mettre à profit.
str_npc14_signup_response_1|Très bien. Allons-y.
str_npc15_signup_response_1|Hmmm. J'admire votre... confiance. Je vous souhaite de réussir dans votre entreprise.
str_npc16_signup_response_1|Pourquoi ne pas me suivre?
str_npc17_signup_response_1|Bien! J’espère que vous ne parlerez pas d'arbres tout le temps.
str_npc1_signup_response_2|Je n'ai pas besoin de vous dans ma compagnie pour le moment, bonne chance à vous.
str_npc2_signup_response_2|Désolé, j'ai changé d'avis.
str_npc3_signup_response_2|Désolé, j'ai changé d'avis - peut-être la prochaine fois.
str_npc4_signup_response_2|Je m'excuse, ma Dame, peut-être une autre fois.
str_npc5_signup_response_2|À bien y penser, nous avons peut-être besoin d'aider la Lothlórien de notre côté.
str_npc6_signup_response_2|Désolé, je ne peux pas vous imaginer sur le champs de bataille.
str_npc7_signup_response_2|Désolé, il m'arrive d'aimer les elfes.
str_npc8_signup_response_2|Je suis désolé, tout le monde se bat dans ma compagnie.
str_npc9_signup_response_2|J'ai changé d'avis. Qui que ce soit vous cherchant pourrait venir pour moi la prochaine fois.
str_npc10_signup_response_2|I've changed my mind.
str_npc11_signup_response_2|I don't need you, slave.
str_npc12_signup_response_2|I've changed my mind.
str_npc13_signup_response_2|I've changed my mind.
str_npc14_signup_response_2|I've changed my mind.
str_npc15_signup_response_2|Actually, I think I'll look for a real healer and not a braggart.
str_npc16_signup_response_2|I've had enough of this.
str_npc17_signup_response_2|On the other hand, I think I've changed my mind. You're a bit of a nut, aren't you?
str_npc1_payment|I would join you, but my Captain Faramir would miss my presence here. [costs {reg14} Influence with {s14}]
str_npc2_payment|The guard Sergeant would not let me go, I'm afraid. [costs {reg14} Influence with {s14}]
str_npc3_payment|Ahem, it seems that I have ran up quite a tab in the fine tavern here, so I'll need to settle my account before I can leave. [costs {reg14} Influence with {s14}]
str_npc4_payment|I would join you, but who will care for the wounded if the city is attacked? [costs {reg14} Influence with {s14}]
str_npc5_payment|We should be off soon. The value of my coming will be diminished if the Enemy senses my presence before we have struck. But Lothlórien also needs me here. [costs {reg14} Influence with {s14}]
str_npc6_payment|I would join you, but my duty is here. [costs {reg14} Influence with {s14}]
str_npc7_payment|I would join you, but I'm afraid my honorable father Dwalin will not understand why I left the town in a time of need. [costs {reg14} Influence with {s14}]
str_npc8_payment|I cannot abandon my duties here, my King still needs me. I'm too concerned for his health. [costs {reg14} Influence with {s14}]
str_npc9_payment|I want to leave with you, but the guards at the gate won't let me.^Trust me, I've tried. [costs {reg14} Influence with {s14}]
str_npc10_payment|I would join you, but my duty is here. [costs {reg14} Influence with {s14}]
str_npc11_payment|I just need someone to do in the Boss. We could wait till he closes his eyes to lop off, but I reckon someone really high up can force his eyes shut. Ai! [costs {reg14} Influence with {s14}]
str_npc12_payment|Hai! Yoi! I'll need to remind the boys to keep their mangy gobs shut or the High Ups will get my number and 'ave it out for me, they will. [costs {reg14} Influence with {s14}]
str_npc13_payment|Alas the Chieftains here will not to allow my leave. Are you able to convince them otherwise? [costs {reg14} Influence with {s14}]
str_npc14_payment|The captain of the Haven will require much persuasion for my leave. Convince him and we shall set sail through this storm. [costs {reg14} Influence with {s14}]
str_npc15_payment|Ah, yes. Noble Warrior-Lord! One small impediment is there! A great injustice befell me, that the master of this cave did not like my offer of healing, and has stolen all my gear! The cheek! To steal from the Great Bolzog! Master, I can't recover my priceless equipment from his filthy claws! [costs {reg14} Influence with {s14}]
str_npc16_payment|I will not follow you, I will go my own path; but your path may go along with mine for a while. Though, before I travel these lands I must first pay tribute to those who died trying before us. Show them your tribute and we may make our leave. We must never forget our ancestors. They have not forgotten us. [costs {reg14} Influence with {s14}]
str_npc17_payment|I like trees, but my old uncle needs me here. [costs {reg14} Influence with {s14}]
str_npc1_payment_response|Don't worry, I'll arrange your leave with him. [costs {reg14}/{reg15} Influence]
str_npc2_payment_response|Don't worry, I'll talk with your Sergeant. [costs {reg14}/{reg15} Influence]
str_npc3_payment_response|This better be worth it. I'll settle with the barkeep. [costs {reg14}/{reg15} Influence]
str_npc4_payment_response|It's a noble cause, but I'm sure a replacement can be found. [costs {reg14}/{reg15} Influence]
str_npc5_payment_response|Trust me, you will be more useful with me. [costs {reg14}/{reg15} Influence]
str_npc6_payment_response|From now on, your duty is with me. [costs {reg14}/{reg15} Influence]
str_npc7_payment_response|Master Dwalin will understand that a battle-worthy dwarf should not be kept from our enemies for too long. [costs {reg14}/{reg15} Influence]
str_npc8_payment_response|The King's well-being is important, but you will save more lives with me. [costs {reg14}/{reg15} Influence]
str_npc9_payment_response|Oh, but the guard won't dare stop you, if you are with me. [costs {reg14}/{reg15} Influence]
str_npc10_payment_response|From now on, your duty is with me. [costs {reg14}/{reg15} Influence]
str_npc11_payment_response|Never mind your Boss, you serve me now. [costs {reg14}/{reg15} Influence]
str_npc12_payment_response|Your boys will get new orders, I'll worry about the High Ups. [costs {reg14}/{reg15} Influence]
str_npc13_payment_response|They will see otherwise, for I'm your Chieftain now. [costs {reg14}/{reg15} Influence]
str_npc14_payment_response|You don't need to worry about the old Harbor-master. [costs {reg14}/{reg15} Influence]
str_npc15_payment_response|Priceless, is it? I'll get your gear. [costs {reg14}/{reg15} Influence]
str_npc16_payment_response|I honor the ancestors, yours and mine. [costs {reg14}/{reg15} Influence]
str_npc17_payment_response|Your uncle will be fine. You are with me now. [costs {reg14}/{reg15} Influence]
str_npc1_morality_speech|Captain, I can't understand how you can {s21} and forsake our men. Captain Faramir would have never lost sight of compassion for his Rangers and caused them to suffer without need.
str_npc2_morality_speech|I hope you don't mind my saying so, but it's a bit hard for me to see us {s21}. Maybe I ought to try to be more of a hardened soldier, but if you could try to be more... caring about our soldiers, I'd sleep better.
str_npc3_morality_speech|Commander, we Eorlingas never {s21}. Our horses don't tire easily and, once we regroup, there is no situation a well-timed charge can't decide in our favour. Take heed the next time we battle against the odds.
str_npc4_morality_speech|Take no heed to what the soldiers say, sometimes to {s21} is the wisest course of action. I for one appreciate the lives spared and limbs unbroken, if for nothing else but to fight another day, when fate looks upon us with favor.
str_npc5_morality_speech|You must reconsider your actions, commander. To {s21} makes us no more honourable than the Enemy and diminishes the confidence of our friends.

str_npc7_morality_speech|I was not pleased that you decided to {s21}. To fall in battle is an honour for any right-thinking dwarf, but to fight in a company led by a coward is a disgrace. What will my cousins say if they learn of this?
str_npc8_morality_speech|Commander, I must object. To {s21} is harsh on the men and unnecessary. I do what I can to ease their suffering, but please don't make another costly mistake.
str_npc9_morality_speech|The fighting Uruk-hai don't {s21}. If the Master has little guts, he might find himself without them one night. Gulm has spoken.





str_npc15_morality_speech|You may think that Bolzog the Great can cure all, {playername}, but even I have my limits! If you continue to {s21} even my talent will struggle! You must give me some support! I cannot resurrect the dead, whether they starve or are hacked to pieces!


str_npc1_2ary_morality_speech|Captain, I have been raised as a Dúnedain, both in valor and honour. I would prefer if we don't {s21}.


str_npc4_2ary_morality_speech|Your pardon, commander. Women of my station will accept death but not dishonour. To {s21} brings shame to my house and ancestors.










str_npc15_2ary_morality_speech|Hi-hi-hi! You are cunning, Oh Lord! You take the gold, and nod, and say 'yes master' but all the time you planned this! Hi-Hi! Only, we must be careful, that The Big One does not see you deceiving him...


str_npc1_personalityclash_speech|Did I mention I hate {s11}?
str_npc2_personalityclash_speech|Did I mention I hate {s11}?
str_npc3_personalityclash_speech|Commander, how come we ended up with {s11} in our company? He's nimble enough on foot, I reckon, but he talks of ambushes too often for my liking - not unlike the cautious nature of his people.
str_npc4_personalityclash_speech|Did I mention I hate {s11}?
str_npc5_personalityclash_speech|Did I mention I hate {s11}?
str_npc6_personalityclash_speech|{playername}, I just saw {s11} walk brazenly over a nest of young birds. His clumsiness destroyed the young lives of innocent creatures.
str_npc7_personalityclash_speech|Lord {s11} does well in a battle, but I wonder if he blinds the enemy by the shine of his hair? Or they fall in awe of his fame and uppity demeanor?
str_npc8_personalityclash_speech|Commander, I must lodge a complaint against {s11}. He continues to pester me about making him a certain brew called 'the green fairy'.
str_npc9_personalityclash_speech|Did I mention I hate {s11}?
str_npc10_personalityclash_speech|Did I mention I hate {s11}?
str_npc11_personalityclash_speech|Did I mention I hate {s11}?
str_npc12_personalityclash_speech|Did I mention I hate {s11}?
str_npc13_personalityclash_speech|Did I mention I hate {s11}?
str_npc14_personalityclash_speech|Did I mention I hate {s11}?
str_npc15_personalityclash_speech|Did I mention I hate {s11}?
str_npc16_personalityclash_speech|Did I mention I hate {s11}?
str_npc17_personalityclash_speech|Did I mention I hate {s11}?
str_npc1_personalityclash_speech_b|I hate {s11}.
str_npc2_personalityclash_speech_b|I hate {s11}.
str_npc3_personalityclash_speech_b|I don't have a quarrel with the people of Gondor, but we would do better with more bold horsemen and less reluctant ground-huggers, if you catch my drift.
str_npc4_personalityclash_speech_b|I hate {s11}.
str_npc5_personalityclash_speech_b|I hate {s11}.
str_npc6_personalityclash_speech_b|His dwarven ways may serve him well underground, albeit it's a wonder he hasn't fallen down an ugly shaft. Maybe he should have.
str_npc7_personalityclash_speech_b|We would do better with a dwarven hero, someone like Durin the Deathless of old, and let the Elves prance around their forests.
str_npc8_personalityclash_speech_b|It is made from wormwood soaked in liquor and apparently favored by minstrels and vagrants for seeing things that are not there. I doubt you'll approve of your soldiers chasing air on the battlefield, as much as it may be amusing to watch.
str_npc9_personalityclash_speech_b|I hate {s11}.
str_npc10_personalityclash_speech_b|I hate {s11}.
str_npc11_personalityclash_speech_b|I hate {s11}.
str_npc12_personalityclash_speech_b|I hate {s11}.
str_npc13_personalityclash_speech_b|I hate {s11}.
str_npc14_personalityclash_speech_b|I hate {s11}.
str_npc15_personalityclash_speech_b|I hate {s11}.
str_npc16_personalityclash_speech_b|I hate {s11}.
str_npc17_personalityclash_speech_b|I hate {s11}.
str_npc1_personalityclash2_speech|Did I mention I hate {s11}?
str_npc2_personalityclash2_speech|Did I mention I hate {s11}?
str_npc3_personalityclash2_speech|Did I mention I hate {s11}?
str_npc4_personalityclash2_speech|Did I mention I hate {s11}?
str_npc5_personalityclash2_speech|Did I mention I hate {s11}?
str_npc6_personalityclash2_speech|Did I mention I hate {s11}?
str_npc7_personalityclash2_speech|A nice little scrap, eh captain? If only slightly ruined by the conduct of that Elf-woman {s11}.
str_npc8_personalityclash2_speech|Did I mention I hate {s11}?
str_npc9_personalityclash2_speech|Did I mention I hate {s11}?
str_npc10_personalityclash2_speech|Did I mention I hate {s11}?
str_npc11_personalityclash2_speech|Did I mention I hate {s11}?
str_npc12_personalityclash2_speech|Did I mention I hate {s11}?
str_npc13_personalityclash2_speech|Did I mention I hate {s11}?
str_npc14_personalityclash2_speech|Did I mention I hate {s11}?
str_npc15_personalityclash2_speech|Did I mention I hate {s11}?
str_npc16_personalityclash2_speech|Did I mention I hate {s11}?
str_npc17_personalityclash2_speech|Did I mention I hate {s11}?
str_npc1_personalityclash2_speech_b|I hate {s11}.
str_npc2_personalityclash2_speech_b|I hate {s11}.
str_npc3_personalityclash2_speech_b|I hate {s11}.
str_npc4_personalityclash2_speech_b|I hate {s11}.
str_npc5_personalityclash2_speech_b|I hate {s11}.
str_npc6_personalityclash2_speech_b|I hate {s11}.
str_npc7_personalityclash2_speech_b|I saw her cowering in the rear, barely releasing an arrow or two in the general direction of the enemy. I say let her go to take care of the birds and bees, so we can go on with the bloody work of slaying the enemy.
str_npc8_personalityclash2_speech_b|I hate {s11}.
str_npc9_personalityclash2_speech_b|I hate {s11}.
str_npc10_personalityclash2_speech_b|I hate {s11}.
str_npc11_personalityclash2_speech_b|I hate {s11}.
str_npc12_personalityclash2_speech_b|I hate {s11}.
str_npc13_personalityclash2_speech_b|I hate {s11}.
str_npc14_personalityclash2_speech_b|I hate {s11}.
str_npc15_personalityclash2_speech_b|I hate {s11}.
str_npc16_personalityclash2_speech_b|I hate {s11}.
str_npc17_personalityclash2_speech_b|I hate {s11}.
str_npc1_personalitymatch_speech|Have you noticed the grace of {s11} in that last battle? The way she moves around the enemy just before striking the final blow? It's like the stories of old, when elven maidens displayed as much poise on the battlefield as in their beautiful forest courts.
str_npc2_personalitymatch_speech|Excuse me, commander. I was just helping {s11} with minor weapon repairs after that last scrap, and he even promised to teach me how to improve my strikes.
str_npc3_personalitymatch_speech|Is not a Rohan shieldmaiden in full charge a sight to behold? Granted, our womenfolk are better off by the hearth, but after seeing {s11} strike down the enemy in that last battle, I'm beginning to have doubts.
str_npc4_personalitymatch_speech|A battle of great deeds, commander, and my congratulations on the victory. I noticed how {s11} quietly and surely took care of the wounded and ailing, even as the last of the enemy got what they deserved.
str_npc5_personalitymatch_speech|Did I mention I like {s11}?
str_npc6_personalitymatch_speech|{playername}, as much as I hate battles, I can't help but notice my Lord {s11} riding out in full splendor and bearing down on the ugly creatures like a hawk.
str_npc7_personalitymatch_speech|Bloody and victorious, just as I like it! I did, however, sustain a flesh wound that {s11} was kind enough to bandage promptly.
str_npc8_personalitymatch_speech|Another victory for you, commander, and I admire your skill in sparing the lives of our men. Warriors like {s11} seem to be of great use in your battle plans.
str_npc9_personalitymatch_speech|Did I mention I like {s11}?
str_npc10_personalitymatch_speech|Did I mention I like {s11}?
str_npc11_personalitymatch_speech|Did I mention I like {s11}?
str_npc12_personalitymatch_speech|Did I mention I like {s11}?
str_npc13_personalitymatch_speech|Did I mention I like {s11}?
str_npc14_personalitymatch_speech|Did I mention I like {s11}?
str_npc15_personalitymatch_speech|Did I mention I like {s11}?
str_npc16_personalitymatch_speech|Did I mention I like {s11}?
str_npc17_personalitymatch_speech|Umm, chief. I think {s11} could make it well in the woods. Can tell an ash from a willow.
str_npc1_personalitymatch_speech_b|I find the company of {s11} very pleasing and her native woodcraft a rare glimpse in what remains of Sindarin skills in the world. You know, my father named me after the legendary Sindarin Elf captain serving King Thingol of Doriath and I always feel a special bond to the fair race.
str_npc2_personalitymatch_speech_b|My folks at home always told me stories about the Ithilien Rangers and now I can see for myself they are all true. If they are all like {s11}, I feel Gondor is safer for it.
str_npc3_personalitymatch_speech_b|Commander, as a personal favour, might I ask if you can order {s11} to stay more to the rear in the next battle? I could not stand to see her harmed, and it's not the ale talking.
str_npc4_personalitymatch_speech_b|To preserve lives is the noblest deed, and I feel kinship with that kind soul, even if our worlds are far apart.
str_npc5_personalitymatch_speech_b|I like {s11}.
str_npc6_personalitymatch_speech_b|I wonder just how old is he. Maybe a dozen of centuries older than me? Never mind, you wouldn't understand.
str_npc7_personalitymatch_speech_b|{s11} and her Dale-kin, even if not quite up to dwarven warrior standards, have proven to be steadfast allies in this War. A good choice for a friend and companion among Men, if I may say so.
str_npc8_personalitymatch_speech_b|The people of Dale have a deep regard for the hardy Lonely Mountain Dwarven-folk, as friends and protectors despite our different race and customs.
str_npc9_personalitymatch_speech_b|I like {s11}.
str_npc10_personalitymatch_speech_b|I like {s11}.
str_npc11_personalitymatch_speech_b|I like {s11}.
str_npc12_personalitymatch_speech_b|I like {s11}.
str_npc13_personalitymatch_speech_b|I like {s11}.
str_npc14_personalitymatch_speech_b|I like {s11}.
str_npc15_personalitymatch_speech_b|I like {s11}.
str_npc16_personalitymatch_speech_b|I like {s11}.
str_npc17_personalitymatch_speech_b|My people get along well with the Woodelves. They like trees too. I like trees too. We all like trees.
str_npc1_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc2_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc3_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc4_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc5_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc6_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc7_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc8_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc9_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc10_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc11_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc12_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc13_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc14_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc15_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc16_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc17_retirement_speech|I'm getting a bit tired of the warrior's life, I'll retire.
str_npc1_rehire_speech|It is good to see you again, Captain. Shall I join you once more?
str_npc2_rehire_speech|Happy days! Commander, can I please join you again?
str_npc3_rehire_speech|Ho! Shall we ride again together?
str_npc4_rehire_speech|Welcome again. Shall we continue where we left off?
str_npc5_rehire_speech|It's good to see you, {playername}. Let us travel together again.
str_npc6_rehire_speech|It's good to see you, {playername}. Let us walk the same path again.
str_npc7_rehire_speech|My axe is ready, {playername}. Shall I rejoin you?
str_npc8_rehire_speech|You are a welcome sight. Shall I join you once again?
str_npc9_rehire_speech|Gulm is ready to kill for you again. Are we going?
str_npc10_rehire_speech|Can I serve you once again?
str_npc11_rehire_speech|Can I serve you once again?
str_npc12_rehire_speech|Can I serve you once again?
str_npc13_rehire_speech|Can I serve you once again?
str_npc14_rehire_speech|Can I serve you once again?
str_npc15_rehire_speech|Aah, Great Lord! I have searched so long for you, as word of your glorious deeds rings across Middle Earth! Surely you have missed my skills? You will welcome me once more to complete your Great Army?
str_npc16_rehire_speech|Can I serve you once again?
str_npc17_rehire_speech|Hey. Time to move on again? Trees don't move much. But I like to move. But I like trees too.
str_npc1_home_intro|Captain, we are approaching Osgiliath now, so let us be on the lookout for friend and foe alike.
str_npc2_home_intro|Be vigilant, commander, that must be Minas Morgul over there. Do you feel that something is watching us?
str_npc3_home_intro|A word of advice, commander. We are getting mighty close to Entwood now and the horses are getting restless. Some call the forest Fangorn, too.
str_npc4_home_intro|Let's stop here for a minute, commander. Ahead of us, between the Anduin and the Limlight, lies the Field of Celebrant, where Eorl the Young rode to the aid of our Gondor allies.
str_npc5_home_intro|Daro! That's Isengard and the black tower of Orthanc ahead. Much have changed since I last saw them, and none for the better.
str_npc6_home_intro|Excuse me, {playername}. The paths in this part become more twisted and some lead to dead-ends. We must be approaching Dol Guldur.
str_npc7_home_intro|Oy, captain! This must be the old path to the Eastern Gates of Khazad-dûm, or Moria as you may prefer. You can see in the distance the glittering lake of Kheled-zâram, and, through the clouds, the three peaks known to grace this part of the Misty Mountains.
str_npc8_home_intro|Oh, a curious sight! I heard stories about this place where sturdy woodmen are said to live in harmony with animals and plants. Beornings they are called, I gather.
str_npc9_home_intro|Curses! That must be Hornburg over there, master.
str_npc10_home_intro|Hey, look!
str_npc11_home_intro|Hey, look!
str_npc12_home_intro|Hey, look!
str_npc13_home_intro|Hey, look!
str_npc14_home_intro|Hey, look!
str_npc15_home_intro|Hey, look!
str_npc16_home_intro|Hey, look!
str_npc17_home_intro|Ooooo, mallorns grow here! One should never cut down a mallorn, they're just too beautiful!
