797
qstr_Received_{reg0}_dama Received_{reg0}_damage.
qstr_Archers__{reg2}_ Archers_({reg2})
qstr_Cavalry__{reg3}_ Cavalry_({reg3})
qstr_{reg4} {reg4}
qstr_{reg5} {reg5}
qstr_{reg6} {reg6}
qstr_{reg7} {reg7}
qstr_{reg8} {reg8}
qstr_{reg9} {reg9}
qstr_{reg10} {reg10}
qstr_{reg11} {reg11}
qstr_{reg12} {reg12}
qstr_Orc_brew_finished! Orc_brew_finished!
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{s7}_{s8} {s7},_{s8}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{s9}_{s10} {s9},_{s10}
qstr_no_one no_one
qstr_{s11}_and_{s12} {s11}_and_{s12}
qstr_{s11}_{s12} {s11},_{s12}
qstr_{s5}_is_ruled_by_{s6 {s5}_is_ruled_by_{s6}.^It_controls_{s8}.^Its_commanders_are_{s10}.^{s5}_is_at_war_with_{s12}.
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_no_holdings no_holdings
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{s57}_{s58} {s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_^{s59} ^{s59}
qstr_{reg6?:{reg4?{s54}_i {reg6?:{reg4?{s54}_is_the_ruler_of_{s56}.^:{s54}_serves_{s55}_of_{s56}.^}}{reg9?{reg3?She:He}_is_the_{reg3?lady:lord}_of_{s58}.:}{s59}{reg10?^{reg3?She:He}_died_on_the_battlefield!:}
qstr_The_last_time_you_sa The_last_time_you_saw_{reg1?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg1?her:him},_{s1}
qstr_The_{s50} The_{s50}
qstr_{s50} {s50}
qstr_{s50}_belongs_to_{s1 {s50}_belongs_to_{s1}_of_{s2}.^
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Very_Poor Very_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Very_Rich Very_Rich
qstr_Strength Strength
qstr_Agility Agility
qstr_Intelligence Intelligence
qstr_Charisma Charisma
qstr_You_ve_gained_{s6}_f You've_gained_{s6}_from_gaining_{s7}
qstr_You_ve_lost_{s6}_fro You've_lost_{s6}_from_losing_{s7}
qstr_{s50}_Caves {s50}_Caves
qstr_{s50}_Mines {s50}_Mines
qstr_{s50}_Woods {s50}_Woods
qstr_ERROR:_Companion_str ERROR:_Companion_strings_actual/needed:_{reg1}/{reg2}
qstr_ERROR:_Companion_stri ERROR:_Companion_strings_actual/needed:_{reg11}/{reg22}
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_{reg3}_h You_brought_{reg3}_heads_of_cattle_to_{s1}.
qstr_Log_entry_{reg3}:_ty Log_entry_{reg3}:_type_{reg4}
qstr_Center:_{s4} Center:_{s4}
qstr_Troop:_{s4} Troop:_{s4}
qstr_Lord:_{s4} Lord:_{s4}
qstr_Ally_party_is_presen Ally_party_is_present
qstr_{s4}_is_present_at_e {s4}_is_present_at_event
qstr_Event_#{reg5}_type_{ Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_Event_#{reg5}_type_{r Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_Event_#{reg5}_type_{re Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_Event_#{reg5}_type_{reg Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_Event_#{reg5}_type_{reg6 Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_Elapsed_hours:_{reg7 Elapsed_hours:_{reg7}
qstr_Reputation_type:_{s1 Reputation_type:_{s15}
qstr_Entries_up_to_#{reg5 Entries_up_to_#{reg5}_skipped
qstr_A_new_location_is_no A_new_location_is_now_available_on_the_map!
qstr_New_trait_gained:_{s New_trait_gained:_{s5}.
qstr_Gained_permanent_+1_ Gained_permanent_+1_to_Strength.
qstr_Gained_permanent_+1_t Gained_permanent_+1_to_Agility.
qstr_Gained_permanent_+1_to Gained_permanent_+1_to_Charisma.
qstr_Gained_permanent_+20 Gained_permanent_+20_to_weapon_proficiencies.
qstr_Gained_permanent_+2_ Gained_permanent_+2_to_Strength.
qstr_Gained_permanent_+2_t Gained_permanent_+2_to_Charisma.
qstr_Lost_permanent__1_to Lost_permanent_-1_to_Charisma.
qstr_Gained_permanent_+1_to_ Gained_permanent_+1_to_Ironflesh.
qstr_Gained_permanent_+5_ Gained_permanent_+5_to_Strength.
qstr_Lost_permanent__2_to Lost_permanent_-2_to_Charisma.
qstr_Gained_permanent_+2_to Gained_permanent_+2_to_Ironflesh.
qstr_Gained_permanent_+10 Gained_permanent_+10_to_weapon_proficiencies.
qstr_Gained_permanent_+1_to_T Gained_permanent_+1_to_Tactics.
qstr_You_have You_have
qstr_{s1}_has {s1}_has
qstr_{s11}_suffered_a_ser {s11}_suffered_a_serious_wound.
qstr_The_leg_has_been_bad The_leg_has_been_badly_maimed_in_battle.
qstr___2_athletics__1_rid (-2_athletics,_-1_riding,_-2_agility,_-15_melee_skill)
qstr_The_arm_has_been_bad The_arm_has_been_badly_maimed_in_battle.
qstr___20_weapon_skill__2 (-20_weapon_skill,_-2_strength,_-1_power_attacks)
qstr_The_head_has_suffere The_head_has_suffered_a_heavy_blow.
qstr___1_intelligence_ski (-1_intelligence_skills,_-15_missile_skill)
qstr_The_chest_has_suffer The_chest_has_suffered_some_cracked_ribs.
qstr___20_weapon_skill_ (-20_weapon_skill)
qstr_{s1}_has_been_killed {s1}_has_been_killed.
qstr_You_were_killed. You_were_killed.
qstr_{s1}_recovered_from_ {s1}_recovered_from_a_serious_wound.
qstr_The_leg_wound_has_he The_leg_wound_has_healed.
qstr__+2_athletics_+1_rid (+2_athletics,_+1_riding,_+2_agility,_+15_melee_skill)
qstr_The_arm_wound_has_he The_arm_wound_has_healed.
qstr__+20_weapon_skill_+2 (+20_weapon_skill,_+2_strength,_+1_power_attacks)
qstr_The_head_wound_has_h The_head_wound_has_healed.
qstr__+1_intelligence_ski (+1_intelligence_skills,_+15_missile_skill)
qstr_The_cracked_ribs_hav The_cracked_ribs_have_healed.
qstr__+20_weapon_skill_ (+20_weapon_skill)
qstr_{s1}_has_had_his_hea {s1}_has_had_his_health_boosted
qstr_News_has_arrived_tha News_has_arrived_that_{s1}_of_{s2}_was_killed_in_battle_by_the_forces_of_{s28}!
qstr_{s1}_s_Burial_Mound {s1}'s_Burial_Mound
qstr_{s1}_s_Funeral_Pyre {s1}'s_Funeral_Pyre
qstr_{s1}_is_logged_as_de {s1}_is_logged_as_dead
qstr_You_have_been_discov You_have_been_discovered_before_scaling_the_wall.
qstr_The_enemy_is_coming_ The_enemy_is_coming_in_force,_you_must_flee!
qstr_Scout_this_area_alon Scout_this_area_alone_and_meet_your_men_beyond!
qstr_Be_stealthy_but_elim Be_stealthy_but_eliminate_any_threats_quickly!
qstr_You_are_spotted_by_a You_are_spotted_by_a_patrol!
qstr_Eliminate_them_befor Eliminate_them_before_the_alarm_spreads!
qstr_You_have_reached_the You_have_reached_the_dungeons!
qstr_Eliminate_the_guards Eliminate_the_guards_and_free_your_men!
qstr_{s1}_has_been_captur {s1}_has_been_captured_by_the_enemy.
qstr_Gondor_takes_a_capti Gondor_takes_a_captive
qstr_Rohan_takes_a_captiv Rohan_takes_a_captive
qstr_Mordor_takes_a_capti Mordor_takes_a_captive
qstr_Isengard_takes_a_cap Isengard_takes_a_captive
qstr_You_were_grievously_ You_were_grievously_wounded_and_your_body_piled_with_the_dead._Picking_your_moment_you_managed_to_escape_over_the_wall_but_the_enemy_may_have_seen_your_movements._Best_to_be_quickly_away.
qstr_You_were_grievously_w You_were_grievously_wounded_in_battle._Your_men_managed_to_drag_you_away_but_took_horrific_casualties_in_the_effort.
qstr_You_were_grievously_wo You_were_grievously_wounded_in_battle._Your_men_managed_to_drag_you_away_but_took_horrific_casualties_in_the_effort._Unfortunately,_some_of_your_companions_have_been_captured_and_dragged_to_{s2}.
qstr_You_were_grievously_wou You_were_grievously_wounded_in_battle._Your_men_managed_to_drag_you_away_from_the_fighting,_but_unfortunately_the_sorcerer_has_managed_to_escape.
qstr_You_were_grievously_woun You_were_grievously_wounded_and_your_body_piled_with_the_dead._Picking_the_right_moment_you_managed_to_escape,_but_unfortunately_the_sorcerer_has_managed_to_escape.
qstr_Some_of_your_compani Some_of_your_companions_are_suffering_from_old_wounds.
qstr_Item_you_just_equipp Item_you_just_equipped_does_not_fit_characters_of_this_race_and_will_be_removed_into_player_inventory_shortly^^Make_sure_your_equipment_has_space_for_the_item,_or_it_will_be_lost
qstr_Inappropriate_equipm Inappropriate_equipment
qstr_The_mount_you_just_e The_mount_you_just_equipped_does_not_fit_characters_of_this_race._Be_warned_that_there_will_be_problems_with_the_animal_behaviour_on_the_battlefield,_if_you_leave_it_as_this
qstr_Inappropriate_mount Inappropriate_mount
qstr_{s24}:_Your_infantry {s24}:_Your_infantry_feels_better!
qstr_{s24}:_Your_archers_ {s24}:_Your_archers_feel_better!
qstr_{s24}:_Your_cavalry_ {s24}:_Your_cavalry_feels_better!
qstr_Ah_what_a_coincidenc Ah,_what_a_coincidence,_running_into_you,_{playername}!_You_might_not_know_me,_but_are_not_unknown_to_me._I_am_on_my_way_to_{s4},_but_I_have_just_come_from_{s3}_and_your_name_has_come_up._{s3}_is_counting_on_you_in_these_perilous_times_and_if_you_had_thought_to_pursue_some_distracting_course_of_action,_you_might_wish_to_reconsider_it_and_focus_on_aiding_{s2}_to_your_utmost_capabilities.
qstr_Who_are_you? Who_are_you?
qstr_A_friend_of_{s3}_and A_friend_of_{s3}_and_the_people_of_{s2}._Now_hurry!_Mordor_draws_all_wicked_things,_and_the_Dark_Power_is_bending_all_its_will_to_gather_them_there._Time_is_running_out_for_all_that_is_good_in_this_world,_unless_we_make_count_our_every_action_to_oppose_it!
qstr_What_should_I_do? What_should_I_do?
qstr_Find_{s3}_s_whereabo Find_{s3}'s_whereabouts_immediately_and_speak_with_{reg3?her:him}._Good_luck!
qstr_Good_to_see_the_Shad Good_to_see_the_Shadow_has_not_yet_managed_to_defeat_you,_{playername}.
qstr_You_are_the_one_they You_are_the_one_they_call_Gandalf_or_Mithrandir.
qstr_That_is_what_some_ca That_is_what_some_call_me._In_my_times_I_have_also_been_called_other_things,_but_unless_the_Darkness_is_stopped,_soon_there_may_not_be_anyone_left_to_call_me_anything_at_all.
qstr_What_do_you_mean? What_do_you_mean?
qstr_In_spite_of_their_va In_spite_of_their_valiant_resistance,_{s3}_has_been_overwhelmed_by_the_forces_of_evil._{s3}'s_people_are_scattered_and_the_good_{s4}_is_no_more.
qstr_You_bring_dismal_new You_bring_dismal_news,_wizard.
qstr_But_I_also_bring_a_m But_I_also_bring_a_message_of_hope._The_people_of_{s5}_are_still_holding_firm._Their_warriors_are_fearless_and_their_leaders_resolute.
qstr_Help_them_fight_the_ Help_them_fight_the_enemy_as_best_as_you_can._Never_relent!_But_be_on_your_guard!_There_are_older_and_fouler_things_than_Orcs_in_the_world.
qstr_Beware_{playername}_ Beware,_{playername},_the_might_of_Darkness_crumbles._{s3}_has_fallen,_as_has_its_leader_{s4}.
qstr_What_do_you_want_of_ What_do_you_want_of_me,_old_man?
qstr_Just_know_that_a_Daw Just_know_that_a_Dawn_is_coming._It_is_inevitable._And_should_you_still_be_alive_to_see_it,_consider_what_you_shall_have_to_say_for_yourself_then.
qstr_Well_met_{playername Well_met,_{playername},_{s24}._My_trust_in_you_has_not_been_misplaced._The_might_of_the_forces_of_the_Shadow_has_been_broken_and_your_efforts_played_no_small_part_in_it!
qstr_Thank_you_Mithrandir Thank_you,_Mithrandir!
qstr_The_wizard_Saruman_i The_wizard_Saruman_is_gone_and_Barad_Dur_has_been_shattered_to_dust_along_with_its_Dark_Lord!_All_the_peoples_of_Middle_Earth_are_relieved_of_the_threat_that_nearly_consumed_all_that_was_good_and_pure_in_this_world._The_Enemy_is_vanquished_and_The_King_has_returned!
qstr_It_was_a_long_and_bl It_was_a_long_and_bloody_war_and_many_of_our_close_friends_are_also_no_longer_with_us.
qstr_There_is_much_to_reg There_is_much_to_regret_and_mourn,_and_even_more_to_rebuild_and_mend_in_the_coming_days._But_for_now,_let_us_be_jubilant_with_those_of_our_friends_that_are_with_us_still_and_celebrate_all_we_have_achieved_in_The_Last_Days_Of_The_Third_Age.
qstr_Bagginsssss..._Ssssh Bagginsssss..._Sssshhhire...
qstr_I..._don_t_know! I..._don't_know!
qstr_It..._beckonsssssss. It..._beckonsssssss...
qstr_Treachery..._Unforgi Treachery..._Unforgiven...
qstr_But_I... But_I...
qstr_Noone..._oppossssses Noone..._oppossssses..._Barad_Dur..._and_livessss!
qstr_All..._must..._submi All..._must..._submit..._and..._serve...
qstr_I_serve_the_Eye! I_serve_the_Eye!
qstr_I_shall_serve_the_Ey I_shall_serve_the_Eye!
qstr_Go_to_{s1}_and_speak Go_to_{s1}_and_speak_with_{s9}.
qstr_The_Remnant_Forces_o The_Remnant_Forces_of_{s22}_have_gathered_to_reinforce_the_{s15}_theater!
qstr_The_strength_of_the_ The_strength_of_the_remaining_allied_factions_of_the_{s15}_theater_has_increased
qstr_{s30}_reinforced_by_ {s30}_reinforced_by_{reg65}_fac_str
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr_Gondor_AI_Tweaks___Mo Gondor_AI_Tweaks_-_More_frequent_hosts
qstr_The_forces_of_{s2}_m The_forces_of_{s2}_march_to_{s15}!
qstr_ERROR ERROR
qstr_Rohan_capital_moved_ Rohan_capital_moved_from_Edoras_to_Hornburg!
qstr_Dale_capital_moved_f Dale_capital_moved_from_Dale_to_Esgaroth!
qstr_Gundabad_capital_mov Gundabad_capital_moved_from_Gundabad_to_Goblin_Town!
qstr_The_hosts_of_{s2}_re The_hosts_of_{s2}_retreat_back_to_their_homes!
qstr____Ruins_of_{s1}___ ___Ruins_of_{s1}___
qstr_{s1}_siege_attack! {s1}_siege_attack!
qstr_ranks ranks
qstr_shield_wall shield_wall
qstr_wedge wedge
qstr_square square
qstr_up up
qstr___Infantry_forming_{ __Infantry_forming_{s1}.
qstr___Not_enough_infantr __Not_enough_infantry_to_form_{s1},_holding_instead.
qstr___Cavalry_forming_{s __Cavalry_forming_{s1}.
qstr___Not_enough_cavalry __Not_enough_cavalry_to_form_{s1},_holding_instead.
qstr___Archers_forming_{s __Archers_forming_{s1}.
qstr___Not_enough_archers __Not_enough_archers_to_form_{s1},_holding_instead.
qstr___Infantry_formation __Infantry_formation_disassembled.
qstr___Cavalry_formation_ __Cavalry_formation_disassembled.
qstr___Archer_formation_d __Archer_formation_disassembled.
qstr_{!}script_battlegrou {!}script_battlegroup_place_around_leader:_invalid_leader_agent_(bad_call)
qstr_{!}script_battlegroup {!}script_battlegroup_place_around_leader:_leader_team_mismatch_(bad_call)
qstr_Division_{reg1}_{s2} Division_{reg1}_{s2}_forming_{s1}.
qstr_Not_enough_troops_in Not_enough_troops_in_division_{reg1}_{s2}_to_form_{s1}.
qstr_Division_{reg1}_{s2}_ Division_{reg1}_{s2}_is_an_{s3}_division_and_cannot_form_{s1}.
qstr_{s1}:_infantry_forma {s1}:_infantry_formation_disassembled.
qstr_{s1}:_archer_formati {s1}:_archer_formation_disassembled.
qstr_{s1}:_skirmisher_for {s1}:_skirmisher_formation_disassembled.
qstr_{s1}:_cavalry_format {s1}:_cavalry_formation_disassembled.
qstr_{s1}:_formation_disa {s1}:_formation_disassembled.
qstr_Cavalry_formation_di Cavalry_formation_disassembled.
qstr_The_placement_of_{s1 The_placement_of_{s1}_division_{reg0}_memorized.
qstr_The_placement_of_{s1} The_placement_of_{s1}_division_{reg0}_set_to_default.
qstr_Your_party_s_tactica Your_party's_tactical_skill_limits_how_far_away_you_can_deploy_your_troops!
qstr_...and_attack_enemy_ ...and_attack_enemy_{s1}_division!
qstr_{s2}:_returning_afte {s2}:_returning_after_destroying_enemy_{s1}_division.
qstr_infantry infantry
qstr_archer archer
qstr_cavalry cavalry
qstr_polearm polearm
qstr_skirmisher skirmisher
qstr_mounted_archer mounted_archer
qstr_support support
qstr_bodyguard bodyguard
qstr_undetermined_type_of undetermined_type_of
qstr_{!}battlegroup_get_a {!}battlegroup_get_action_radius:_negative_radius_for_team_{reg0}_division_{reg1}_formation_{reg2}
qstr_{s1}_has_fled_the_ba {s1}_has_fled_the_battle!
qstr_Your_troops_are_at_{ Your_troops_are_at_{reg1}%_cohesion_(+{reg3}%_bonus),_the_enemy_at_{reg2}%!
qstr_Morale_of_your_troop Morale_of_your_troops_wavers!
qstr_Morale_of_your_enemi Morale_of_your_enemies_wavers!
qstr_Your_enemies_flee_in Your_enemies_flee_in_terror!
qstr_Many_of_your_enemies Many_of_your_enemies_are_fleeing_from_battle.
qstr_Some_of_your_enemies Some_of_your_enemies_are_fleeing_from_battle.
qstr_A_few_of_your_enemie A_few_of_your_enemies_are_fleeing_from_battle.
qstr_Your_troops_flee_in_ Your_troops_flee_in_terror!
qstr_Many_of_your_troops_ Many_of_your_troops_are_fleeing_from_battle.
qstr_Some_of_your_troops_ Some_of_your_troops_are_fleeing_from_battle.
qstr_A_few_of_your_troops A_few_of_your_troops_are_fleeing_from_battle.
qstr_lord_{reg1}:_{s1}_is lord_{reg1}:_{s1}_is_defending_{s2}
qstr_lord_{reg1}:_{s1}_NO lord_{reg1}:_{s1}_NOT_defending_{s2}
qstr_lord_{reg1}:_{s1}_is_ lord_{reg1}:_{s1}_is_patrolling_around_{s2}
qstr_lord_{reg1}:_{s1}_NOT lord_{reg1}:_{s1}_NOT_patrolling_around_{s2}
qstr_lord_{reg1}:_{s1}_is_a lord_{reg1}:_{s1}_is_accompanying_{s2}
qstr_lord_{reg1}:_{s1}_NOT_ lord_{reg1}:_{s1}_NOT_accompanying_{s2}
qstr_Gained_permanent_+1_to_P Gained_permanent_+1_to_Pathfinding.
qstr_Gained_permanent_+1_to_S Gained_permanent_+1_to_Spotting.
qstr_INVALID_PARTY_BEING_ INVALID_PARTY_BEING_REMOVED_({s1})!_DISABLED_INSTEAD._PLEASE_LET_THE_DEVS_KNOW._THIS_IS_A_TEST_AGAINST_SAVE_GAME_CORRUPTION.
qstr_DEBUG:_{s1}_made_dor DEBUG:_{s1}_made_dormant.
qstr_DEBUG:_Dormant_{s1}_ DEBUG:_Dormant_{s1}_spawned_around_{s2}
qstr_DEBUG:_No_Dormant_{s DEBUG:_No_Dormant_{s1}_found._Creating_one_near_{s2}
qstr_{s11}_recovered_from {s11}_recovered_from_a_serious_wound.
qstr_Volunteers Volunteers
qstr_Reserves Reserves
qstr_{s4} {s4}
qstr_have_taken_measure_o have_taken_measure_of_your_faction's_current_strength_and_has_grown_bolder.
qstr_loses_Faction_Streng loses_Faction_Strength_as_supply_lines_were_disrupted.
qstr_loses_Faction_Strengt loses_Faction_Strength_due_to_the_destruction_of_their_camp.
qstr_gains_Faction_Streng gains_Faction_Strength_as_news_of_your_victory_spreads.
qstr_{s11}_{s10} {s11}_{s10}
qstr_{s13}_{s14} {s13}_{s14}
qstr_Mountain_Goblin Mountain_Goblin
qstr_Tribal_Orc Tribal_Orc
qstr_Tribal_Orc_Warrior Tribal_Orc_Warrior
qstr_Tribal_Orc_Chief Tribal_Orc_Chief
qstr_Mountain_Goblins Mountain_Goblins
qstr_Tribal_Orcs Tribal_Orcs
qstr_Tribal_Orc_Warriors Tribal_Orc_Warriors
qstr_Tribal_Orc_Chiefs Tribal_Orc_Chiefs
qstr_Something_wrong_not_ Something_wrong,_not_enough_troops_to_remove
qstr_Troop:_{s6}___Level: Troop:_{s6}_-_Level:_{reg1}
qstr_{reg6}_Centers_Left_ {reg6}_Centers_Left_for_{s2}
qstr_DEBUG:_{reg0}_troop_ DEBUG:_{reg0}_troop_stacks_of_{s1}_found
qstr_DEBUG:_8_Hours_to_hi DEBUG:_8_Hours_to_hide
qstr_DEBUG:_7_Hours_to_hi DEBUG:_7_Hours_to_hide
qstr_DEBUG:_6_Hours_to_hi DEBUG:_6_Hours_to_hide
qstr_DEBUG:_5_Hours_to_hi DEBUG:_5_Hours_to_hide
qstr_Raiders Raiders
qstr_have_won_the_sea_bat have_won_the_sea_battle,_demoralizing_your_troops._The_enemy_may_take_advantage_of_this_defeat_and_attack_more_frequently.
qstr_loses_Faction_Strength loses_Faction_Strength_due_to_the_destructive_raid.
qstr_loses_Faction_Strength_ loses_Faction_Strength_due_to_the_your_success_at_the_sea.
qstr_You_spent_{reg67}_of You_spent_{reg67}_of_your_influence_with_{s1},_with_{reg66}_remaining.
qstr_{s15}_VS_{s16} {s15}_VS_{s16}
qstr_Pre_div:_{reg71}___A Pre-div:_{reg71}_-_A:_{reg67}
qstr_Pre_Division:_A:{reg Pre-Division:_A:{reg71}_--_B:{reg68}_--_C:{reg70}_--__D:{reg61}_--_E:{reg63}
qstr_Formula:_[_A:{reg67} Formula:_[(A:{reg67}_+_B:{reg69}_-_C:{reg64})
qstr_Formula:_[_A:{reg67}_ Formula:_[(A:{reg67}_+_B:{reg69}_-_C:{reg64})_*_D:_{reg61}]/20000
qstr_Formula:_[_A:{reg67}_+ Formula:_[(A:{reg67}_+_B:{reg69}_-_C:{reg64})_*_D:_{reg61}]/100_+_E:_{reg63}
qstr_Total:_{reg62} Total:_{reg62}
qstr_lord_{reg1}:_{s1}_is_at lord_{reg1}:_{s1}_is_attacking_{s2}
qstr_lord_{reg1}:_{s1}_NOT_a lord_{reg1}:_{s1}_NOT_attacking_{s2}
qstr_{s2}_{reg3?was:is_ar {s2}_{reg3?was:is_around_{s5}.
qstr_warp_array_created_a warp_array_created_at_{reg1}
qstr_warp_temp_array_crea warp_temp_array_created_at_{reg1}
qstr_{s0} {s0}
qstr_{s3}{s1}{s0} {s3}{s1}{s0}
qstr_{s3}{s2}{s0} {s3}{s2}{s0}
qstr_{s1}_{s0} {s1},_{s0}
qstr_{s1}_and_{s0} {s1}_and_{s0}
qstr_{reg0} {reg0}
qstr_No_Troops_Left. No_Troops_Left.
qstr_avoid_melee avoid_melee
qstr_stand_and_fight stand_and_fight
qstr_{!}{s2}_{s3} {!}{s2},_{s3}
qstr_Everyone Everyone
qstr_{!}{s2}_{s1}! {!}{s2},_{s1}!
qstr_Shield___{reg31}_ Shield_(-{reg31})
qstr_Power_Draw___{reg31} Power_Draw_(-{reg31})
qstr_Riding___{reg31}_ Riding_(-{reg31})
qstr_Horse_Archery___{reg Horse_Archery_(-{reg31})
qstr_Athletics___{reg31}_ Athletics_(-{reg31})
qstr_No_Skill_Penalty_Ass No_Skill_Penalty_Assigned
qstr_Inventory Inventory
qstr_Show_stats Show_stats
qstr_Show_item_details__ Show_item_details__
qstr_Troop_detail Troop_detail
qstr_{s1}^ {s1}^
qstr_{s1}Level:_{reg1}^ {s1}Level:_{reg1}^
qstr_{s1}Hit_Points:_{reg {s1}Hit_Points:_{reg1}
qstr_{s1}Atributes:_^___S {s1}Atributes:_^___Strength:^
qstr_{s2}^{reg1}^ {s2}^{reg1}^
qstr_{s1}___Agility: {s1}___Agility:
qstr_{s2}{reg1} {s2}{reg1}
qstr_{s1}Main_skills:_^ {s1}Main_skills:_^
qstr_{s1}___Power_Strike: {s1}___Power_Strike:^
qstr_{s2}{reg1}^ {s2}{reg1}^
qstr_{s1}___Athletics:^ {s1}___Athletics:^
qstr_{s1}___Riding:^ {s1}___Riding:^
qstr_{s2}_^ {s2}-^
qstr_{s1}___Power_Throw:^ {s1}___Power_Throw:^
qstr_{s1}___Power_Draw:^^ {s1}___Power_Draw:^^
qstr_{s2}{reg1}^^ {s2}{reg1}^^
qstr_{s2}_^^ {s2}-^^
qstr_{s1}Weapons:^ {s1}Weapons:^
qstr_{s1}___One_Handed:^ {s1}___One_Handed:^
qstr_{s1}___Two_Handed:^ {s1}___Two_Handed:^
qstr_{s1}___Polearms:^ {s1}___Polearms:^
qstr_{s1}___Archery:^ {s1}___Archery:^
qstr_{s1}___Crossbow:^ {s1}___Crossbow:^
qstr_{s1}___Throwing:^ {s1}___Throwing:^
qstr_{s1}___Slings: {s1}___Slings:
qstr_{s2}_ {s2}-
qstr__Click_on_the_troop_ (Click_on_the_troop_to_rotate_it)^^Click_on_pieces_of_gear_^(helmet,_armor,_gloves_and_boots)^_to_display_them.
qstr_ready_bows_and_missi ready_bows_and_missiles
qstr_ready_side_arms ready_side_arms
qstr_ready_two_hander ready_two-hander
qstr_ready_polearms ready_polearms
qstr_shields_up shields_up
qstr_doff_shields doff_shields
qstr_Distance___{reg70}__ Distance_-_{reg70}_-_{s11}_Party_-_{s12}_Troop
qstr_{s70}_target_found {s70}_target_found
qstr_Mordor_Cloud_Spawned Mordor_Cloud_Spawned
qstr_A_golden_mist_from_L A_golden_mist_from_Lórien_covers_the_battlefield._Your_troops_feel_encouraged_by_the_presence_of_the_Lady.
qstr_A_golden_mist_from_Lr A_golden_mist_from_Lórien_covers_the_battlefield._The_witch_is_near,_sending_shivers_down_you_and_your_troops'_spine.
qstr_Dark_clouds_from_Mor Dark_clouds_from_Mordor_cover_the_battlefield._Your_archers_have_trouble_seeing_the_enemy,_and_the_presence_of_evil_terrifies_your_men.
qstr_Dark_clouds_from_Mord Dark_clouds_from_Mordor_cover_the_battlefield._The_Dark_Lord's_presence_strengthens_you_and_your_men.
qstr_A_thunderstorm_from_ A_thunderstorm_from_the_Misty_Mountains_rages_over_the_battlefield._Your_troops_are_slowed_down,_and_the_superstitious_amongst_the_men_feel_scared.
qstr_A_thunderstorm_from_t A_thunderstorm_from_the_Misty_Mountains_rages_over_the_battlefield._Archers_have_difficulty_in_this_weather.
qstr_A_poisonous_fog_from A_poisonous_fog_from_Dol_Guldur_lingers_on_the_battlefield._You_and_your_troops_feel_weakened._There_is_fear_amongst_the_men.
qstr_A_poisonous_fog_from_ A_poisonous_fog_from_Dol_Guldur_lingers_on_the_battlefield._You_do_not_feel_any_different,_but_you_hear_your_enemies_suffer_and_you_can_smell_their_fear.
qstr_swy_ui_evil swy_ui_evil
qstr_swy_river_tinting_co swy_river_tinting_color
